District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobil,Contact Person,Working Sector
Dolakha,हिमाल समाज सेवा समिति ,Himal Social Service Committee,,"Jiri, Lingana Bazar-7",,,,,,,
Dolakha,सुस्पा शैक्षिक विकास समिति,Suspa Educational Development Committee,,Suspa Kshemawati-8,,,,,,,
Dolakha,ग्रामीण विकास टुकीसंघ,Rural Development Tuki Association,,Charikot,,,,,,,
Dolakha,गैराश्वारा समाज सेवा समिति ,Gauswara Social Service Committee,,Charikot,,,,,,,
Dolakha,कालिन्चोक युवा क्लव,Kalinchok Youth Club,,Dolakha-8,,,,,,,
Dolakha,तिलिन्चो परिवार,Tilincho Pariwar,,Dolakha-6,,,,,,,
Dolakha,दिव्यज्योति समाज सुधार संघ ,Divya Joyti Society Reform Association,,Sundrawati-2,,,,,,,
Dolakha,घट्टेखोला जनल उपभोक्ता समिति ,Ghatte Khola Janal Consumer Committee,,Lamidanda-1,,,,,,,
Dolakha,नारीको उन्नती सामुदायिक समुन्नती ,Nariko Unnati Samudayik Samunnati ,,Charikot-4,,,,,,,
Dolakha,श्री अभयपुर संस्कृत परिवार ,Shree Abhaypur Sanskrit Parivar ,,Dolakha-8,,,,,,,
Dolakha,वातावरण तथा जनसंख्या सचेतन अभिवृद्धि कार्यक्रम  ,Environment and Population Awareness Program ,,Charikot-4,,,,,,,
Dolakha,तामाकोशी सांस्कृतिक परिवार ,Tamakosi Cultural Family,,"Charikot, Jilu",,,,,,,
Dolakha,हरियाली युवा क्लब ,Greenery Youth Club,,Suspa Kshemawati-7,,,,,,,
Dolakha,सामुदायीक शिक्षा र वातावरण विकास संस्था,Community Educaiton and Environment Development Association Of Nepal,,Charikot-4,,,,,,,
Dolakha,साँस्कृतिक विकास समिति नेपाल ,Cultural Development Committee Nepal,,Charikot-4,,,,,,,
Dolakha,कृषि वातावरण तथा ग्रामिण विकास केन्द्र,Agricultural Environment and Rural Development Centre,,Charikot-4,,,,,,,
Dolakha,दोलखा गुठी,Dolakha Gunthi,,Dolkha Bazar,,,,,,,
Dolakha,दोलखा बहुउद्देशीय विकास तथा सेवा कार्यक्रम नेपाल ,Dolakha Multi Purpose Development and Service Program,,Bhimeswor-10,,,,,,,
Dolakha,जाल्पादेवी महिला तथा समाज कल्याण संस्था ,Jalpa devi Women and Social Welfare Organization,,Lamidanda-1,,,,,,,
Dolakha,बुद्ध युवा क्लब ,Buddha Youth Club,,Chankhu-3,,,,,,,
Dolakha,ग्रामीण वातावरण सुधार समाज,Rural Environment Improvement Society,,Bhimsen-10,,,,,,,
Dolakha,,,,,,,,,,,
Dolakha,महिला उत्थान केन्द्र ,Women Upgrading Center,,Bhimeswor-10,,,,,,,
Dolakha,श्री सामुदायिक विकासकेन्द्र ,Shree Community Development Centre,,Bhimeswor-1,,,,,,,
Dolakha,हुराडेक ,HUDAREC,,Bhimeswor-10,,,,,,,
Dolakha,श्री सिँहदेवी युवा क्लब ,Shree Singh Devi Youth Club,,Bocha-9,,,,,,,
Dolakha,सत्यदेवी डम्मर कुमारी सामाजिक सेवासंघ ,Satya Devi Dammar Kumari Social Service Organization,,Bocha-9,,,,,,,
Dolakha,उत्पीडित महिला समाज,Utpidit Mahila Sangh ,,,,,,,,,
Dolakha,,,,,,,,,,,
Dolakha,बिकासका लागि सामुदायिक स्वास्थ्य कार्यक्रम,Community Health Program for Development,,,,,,,,,
Kavre,शान्ति जन आदर्श यूवा क्लव,Shanti Jana Aadarsa Youth Club,,"Dhulikhel-2, Sarswati Bazar",011-662311,,sjasc@wlink.com.np,,,,
Kavre,समाज सेवा समुह,Social Service Group,,"Mahadevsthan-8,Mahakal Chaur",,,,,,,
Kavre,महिला समाज सेवा संघ,Women Social Service Organization,,"Pokhari Narayansthan-1, Bhimpokhari",,,,,,,
Kavre,ग्रामीण समुदाय बिकास समूह,Rural Community Development Society,,Dhulikhel-5,,,,,,,
Kavre,,,,,,,,,,,
Kavre,इन्द्रादेवी यूवा क्लव,Indradevi Youth Club,,Bhumidanda,,,,,,,
Kavre,फूल्चोकी युवा क्लव,Phulchoki Youth Club,,Ramale-1,,,,,,,
Kavre,ग्रामीण उत्थान बहुमुखी सेवा समिती,Rural Progress Multiple Service Committee,,Pokharichuri-4,,,,,,,
Kavre,विकास र सशतmीकरणका लागी सहभागीतात्मक प्रयास,participatory Effort for and Empowement  Development ,,P.O. 514,,,,,,,
Kavre,मानव अधिकार तथा वातावरणीय शिक्षा केन्द्र,Human Rights and Environment Education Centre,,panauti-6,,,,,,,
Kavre,जलविनायक यूवा क्लव,Jal Binayak Youth Club,,Birta Deurali,,,,,,,
Kavre,चौतर्फी ग्रामिण बिकास संस्था,Allround Rural Area Development Association,,Punaragaun-8,,,,,,,
Kavre,अपाङ्ग समूह,Disable Group,,Naya Gaun -7,,,,,,,
Kavre,महिला कल्याण केन्द्र,Women Welfare Centre,,Shyampati-2,,,,,,,
Kavre,फ्याफुल्ला प्रगति युवा क्लब,Phyaphulla Progressive Youth Club,,Kharpa Chowk -2,,,,,,,
Kavre,महिला शिप बिकास तथा रोजगार अभिबृद्धि केन्द्र,Promotional Centre for Women Skill Development and Work,,Dhulikhel-5,,,,,,,
Kavre,एकता युवा समूह,United Youth Group,,Dhulikhel-2,,,,,,,
Kavre,सृजनशिल युवा क्लब,Srijansil Youth Club,,Butakhani-2,,,,,,,
Kavre,अपाङ्ग पूर्नस्थापन केन्द्र,Nepal Disabled Rehobition Centre,,Pokhari Chauki-3,,,,,,,
Kavre,भगवती सामुदायिक स्वास्थ्य इकाई,Bhagawati Community Health Unit,,Bhagawati-8,,,,,,,
Kavre,सहभागितामूलक सशक्तिकरण समाज नेपाल,Participatory Empowerment Society Nepal,,Banepa-10,,,,,,,
Kavre,हिमपात सामुदायिक सेवा केन्द्र,Himpat Community Service Centre,,Dhulikhel-2,,,,,,,
Kavre,खानेपानी उपभोक्ता जिल्ला समन्वय समिति,Drinking Water Users District Co-ordination Committee ,,Dhulikhel-2,,,,,,,
Kavre,सुर्योदय युवा क्लब,Suryoday Youth Club,,Rabi Opi-3,,,,,,,
Kavre,लालिगुराँस युवा क्लब,Laligunras Youth Club,,Danda Gaun-5,,,,,,,
Kavre,बौद्धिक समाज सेवा संघ,Bauddhik Social Service Orgaization,,Shikhar Aambote-6,,,,,,,
Kavre,नमूना समाज,Namuna Samaj,,Balthali,,,,,,,
Kavre,जनशुसेली सांस्कृतिक परिवार,Jan Shuseli Sanskritic Pariwar,,"P.O.512, Banepa",,,,,,,
Kavre,कृष्ण युवा क्लब,Krishna Youth Club,,Sipali Chilaune -8,,,,,,,
Kavre,एकिकृत ग्रामीण बिकास केन्द्र नेपाल,Integrated Rural Development Centre Nepal,,Panchkhal-8,,,,,,,
Kavre,किसान जागरण सामुदायिक संस्था,Farmer Awareness Community Organization,,Balthali-8,,,,,,,
Kavre,नव प्रगतिशिल यूवा क्लब,Nav Pragatishil youth Club,,Pokhari Chauri-5,,,,,,,
Kavre,फूलबारी समाज सेवा युवा संघ,Phulbari Society Service youth Association,,Birta Deurali-8,,,,,,,
Kavre,महिला समाज सेवा संघ,Women Social Service Organization,,Narayansthan-6,,,,,,,
Kavre,सयपत्री युवा क्लब,Saya Patri Youth Club,,Ugratar Jangal-8,,,,,,,
Kavre,सगरमाथा समूह नेपाल,Sagarmatha Samuha Nepal,,Birta Deurali-6,,,,,,,
Kavre,ग्रामीण सामुदायिक बिकास केन्द्र,Rural community Development Centre,,Banepa-10,,,,,,,
Kavre,सदाबहार युवा मञ्च,Sadabahar Youth Forum,,Birta Deurali-7,,,,,,,
Kavre,सामाजिक बिकासको लागि महिला अभियान नेपाल,Women Campigian for Social Development,,Ugratara-6,,,,,,,
Kavre,सामाजिक संस्था जिल्ला समन्वय समिति,District Coordination Committee of Social Organization,,Dhulikhel-2,,,,,,,
Kavre,महिला शक्ति,Mahila Shakti,,Dhulikhel-3,,,,,,,
Kavre,ग्रामिण जन चेतना मञ्च,Rural Public Awareness Forum,,"Daraune Pokhari-2, Samundre",,,,,,,
Kavre,महिला समूह बनेपा,Women Group ,,Banepa-2,,,,,,,
Kavre,रक्तकाली प्रा.बि. भु.पु विद्यार्थी मिलन केन्द्र तथा समाज सुधार समुह,Raktakali Primary School Ex Student Co-ordination Centre and Social Improvement Group,,"Kanpur-7, Kottimal",,,,,,,
Kavre,श्रीखण्डपुर युवा क्लब,Shree Khandapur Youth Club,,Dhulikhel,,,,,,,
Kavre,देव बलभद्रेश्वर युवा क्लब,Dev Bal Bhadreswor Youth Club,,Deupur Gainni bisauna -9,,,,,,,
Kavre,दुर्गम समाज सेवा क्लब,Remote Social Service Club,,Taldhunga-5,,,,,,,
Kavre,लघुबिद्युत जिल्ला समन्वय समिति,Micro Hydro District Co-ordination Committee,,"Dhulikhel -6, Ankatole",,,,,,,
Kavre,सामाजिक उत्थान संस्था,Association For Social Welfare,,Dukharka-6,,,,,,,
Kavre,आँसिखोला महादेवस्थान सामुदायिक बिकास समन्वय समिति महादेवस्थान,Aasi Khola Mahadevsthan Community Development  Coordination Committee,,,,,,,,,
Kavre,प्रकास साँस्कृतिक परिवार,Prakash Cultural Family,,"Kurubas, Chapakhori",,,,,,,
Kavre,देक्षेन युवा क्लब,Dekshen Youth Club,,Budha Khani-4,,,,,,,
Kavre,ग्रामिण लघु जलशक्ति इलमी समूह(काभ्रे),Rural Mini Hydropower Working Group ,,Dhulikhel-2,,,,,,,
Kavre,मिलन युवा क्लब,Milan Youth Club,,Phoksitar-3,,,,,,,
Kavre,मंगलश्वरी विकास समाज,Mangaleswori Development Society,,"Mangaltar-4, Magalbazar",,,,,,,
Kavre,मातृभूमि सामुदायिक विकास मञ्च,Motherland Communal And Development Forum,,Sipali Chilaune -5,,,,,,,
Kavre,जनज्योति युवा क्लब,Jana Joyti Youth Club,,Methinkot-1,,,,,,,
Kavre,ग्रामिण समाज बिकास तथा वातावरण संरक्षण मञ्च नेपाल,Social Development and  Environment  Protection Forum Of Nepal,,"Katike, Deurali-9",,,,,,,
Kavre,पारीजात साँस्कृतिक केन्द्र,Parijat Cultural Centre,,"Dhulikhel-6, Kutal",,,,,,,
Kavre,प्रगति युवा क्लब,Progress Youth Club,,Dhulikhel-6,,,,,,,
Kavre,दाप्चा सृजनशिल यूवा क्लब,Dapcha Srijansil Youth Club,,Daraune Pokhari-2,,,,,,,
Kavre,सुर्योदय सेवा समूह,Suryodaya Service Group,,Mahadevsthan-7,,,,,,,
Kavre,महाँकाल युवा क्लब,Mahakal Youth Club,,Chyamang Besi-2,,,,,,,
Kavre,वातावरण संरक्षण तथा ग्रामिण उत्थान समाज नेपाल,Environment Protection and Rural Progressive Society,,Banepa-10,,,,,,,
Kavre,सगरमाथा युवा क्लब,Sagarmatha Youth Club,,Phoksintar-8,,,,,,,
Kavre,जन चेतना यूवा समुह,Public Awareness Youth Group,,"Nasika Sthan-1, Bhaisepati",,,,,,,
Kavre,सोक्छेन शान्ति सेवा क्लब,Sokchhen Peace Service Club,,Budha Khani-2,,,,,,,
Kavre,एकता शिक्षा स्वास्थ्य तथा वातावरण विकास समाज,Shree United Education Health and Environmental Development Society,,Chyamang Besi-2,,,,,,,
Kavre,"राष्ट्रिय मानव विकास युवा मञ्च, नेपाल",National Human Development Youth Forum Nepal,,"Banepa-3, Naya Basti",,,,,,,
Kavre,हिमशिखर जनसेवा क्लब,Him Shikhar Public Service Club,,"Balting-7, Tor Gauri Gaun",,,,,,,
Kavre,जन जागृति युवा क्लब,Jana Jagrit Youth Club,,Panchkhal-9,,,,,,,
Kavre,सूर्यकिरण सामाजिक संस्था,Surya Kiran Social Organization,,Methinkot-4,,,,,,,
Kavre,बोक्स फेदी युवा क्लब,Boksa Phedi Youth Club,,Timlsina-9,,,,,,,
Kavre,दलित समाज सेवा उत्थान मञ्च,Progressive Forum of Dalit Society Service ,,"Sathighar, Bhagawati-8",,,,,,,
Kavre,शिखरपुर समाज सेवा क्लब,Shikharpur Social Service Club,,Hotse-3,,,,,,,
Kavre,पाथीभरा युवा समूह,Pathivara Youth Group,,"Kattike, Deurali-2",,,,,,,
Kavre,ग्रामिण दिगो बिकास तथा स्वास्थ्य सरोकार केन्द्र,Rural Sustainable Development and Health Concern Centre,,,,,,,,,
Kavre,ग्रामीण महिला बिकास परिषद,Rural Women Development Council,,,,,,,,,
Kavre,महिला जागरण समूह उग्रचण्डी नाल,Women Awareness Group,,,,,,,,,
Kavre,काभ्रे सामाजिक विकास परिषद,Kavre Social Development Council,,,,,,,,,
Kavre,सामुदायिक उत्थान मञ्च नेपाल,Community Imporvement Forum Nepal,,,,,,,,,
Kavre,एकिकृत बिकास समाज नेपाल,Integrated Development Society Nepal,,,,,,,,,
Kathmandu,सामुहिक अभियान,Samuhik Abhiyan,,"Kamalpokhari, Ktm",4413166,,,,,,
Kathmandu,संस्कृति अध्ययन संस्था नेपाल ,Institute Of Cultural Affairs Nepal,,"Anamnagar, Ktm",9841275572,,,,,,
Kathmandu,युथ फर चियर्स ,Youth for Cheers,,Mahankal-2,,,,,,,
Kathmandu,महिला विकास सरोजगार प्रशिक्षण केन्द्र ,Women Development Self-Employment Training Centre,,Thapathali,,,,,,,
Kathmandu,यज्ञमति सामुहिक समाज सुधार समिति ,Yaguamati Social Development  Association,,Nayabasti Kapan-1,,,,,,,
Kathmandu,आमा मिलन केन्द्र ,Mother's Club Central Committee,,Vrikutimandap,,,,,,,
Kathmandu,सामुदायिक विकास कार्यकर्ता समाज ,Society For Community Development Professionals ,,Chabahil,,,,,,,
Kathmandu,शान्तिनगर परिवार ,Shanti Nagar Pariyar,,Chhauni,,,,,,,
Kathmandu,समाज विकास तथा अनुसन्धान केन्द्र ,Centre For Community Development And Research,,Kshetapati,,,,,,,
Kathmandu,पुनजागरण समाज नेपाल ,Renaissance Society Nepal,,,,,,,,,
Kathmandu,एकृकीत वातावरण तथा विकास समाज,Integrated Society For Environment and Development ,,Ktm Po. Box 10882,,,,,,,
Kathmandu,अनौपचारीक क्षेत्र सेवा केन्द्र,Informal Sector Service Centre,,Ktm,,,,,,,
Kathmandu,एन्टी ड्रग सोसाइटी नेपाल ,Anti Drug Society Nepal,,Bauddha,,,,,,,
Kathmandu,सामुदायिक विकास प्रर्वद्धन केन्द्र,Community Development Promotion Centre,,Ktm-10 Puranobaneswor,4467347,,,,,,
Kathmandu,सिन्धु मिलन केन्द्र,Sindhu Milan Kendra,,Ktm,,,,,,,
Kathmandu,नेपाल ग्रामीण पुननिर्माण संस्था्र,Nepal Rural Reconstruction Organization,,"Ktm, Gairidhara",4422153,,,,,,
Kathmandu,नेपाल एड्स जन चेतना संघ,Nepal AIDS Public Awareness Association Of Nepal,,Ktm. P.0. 2980,,,,,,,
Kathmandu,नेपाल वाल मजदुर सरोकार केन्द्र,CWIN Nepal,,"Kalimati, Ktm ",,,,,,,
Kathmandu,साथी संस्था शाखा ,Sathi Sastha ,,"Kupandol, Lalitpur",,,,,,,
Kathmandu,नेपाल अपाङ्ग समाज ,Nepal  Society Of The Disable,,Bagbazar-31,,,,,,,
Kathmandu,तीनथाना सामुदायिक विकास मञ्च ,Tinthana Community Development Fourm,,Dhungeadda,,,,,,,
Kathmandu,एकिकृत विकास संस्था,Integrated Development Organization,,Lainchaur,,,,,,,
Kathmandu,नेपाल अपाङ्ग संघ ,Nepal Disabled Association,,Jorpati,,,,,,,
Kathmandu,नेपाल व्यवहारिक अर्थशास्त्र समाज ,Nepal Society Applied Economics,,Maitidevi,,,,,,,
Kathmandu,हिमालयन संस्कृति तथा शैक्षिक केन्द्र ,Himalayan Culture and Educaion Centre,,Tangal-2,,,,,,,
Kathmandu,टोखा स्वास्थ्य सेवा समिति ,Tokha Health Service Committee,,Tokha,,,,,,,
Kathmandu,लुमन्ति एक्सन ग्रुप फर शेल्टर ,Lumanti Action Group For Shelter,,Tahachal,,,,,,,
Kathmandu,वातावरण संरक्षण तथा ग्रामीण उत्थान,Environment Protection and Rural Upliftment,,"Ktm, P.O.-6502",,,,,,,
Kathmandu,बुद्ध युनिस्को क्लब ,Buddha UNESCO Club,,Maharajganj,,,,,,,
Kathmandu,उपभोक्ता जागरण तथा संरक्षण मञ्च,Consumer Awareness and Protection Forum,,Ghattekulo-33,,,,,,,
Kathmandu,शिर्जनशील महिला समूह ,Creative Women Group,,Sitapaila,,,,,,,
Kathmandu,दिगो कृषि संस्था नेपाल ,Institute For Sustainable Agriculture Nepal,,Purano Baneswor,,,,,,,
Kathmandu,"जागृत महिला, काठमाडौं ",Jagrit Mahila,,"Batishputali, Kathmandu",,,,,,,
Kathmandu,दलित महिला संघ,Feminist Dalit Organization,,"Kupandol, Lalitpur",,,,,,,
Kathmandu,नेपाल पर्यटक दृष्टि केन्द्र,Nepal Tourism Watch Centre,,Hanumandhoka,,,,,,,
Kathmandu,सुशसन तथा विकेन्द्रीकरण प्रवद्र्धन केन्द्र,Good Goverance and Decentralization Promotion Centre,,,,,,,,,
Kathmandu,ऐतिहासिक तथा साँस्कृतिक सम्पदा संघ,Historical and Cultural Association,,,,,,,,,
Kathmandu,"सृजनाशिल समुह , मङ्गल ",Creative Group,,Mahakal-2,,,,,,,
Kathmandu,राष्ट्रिय शान्ति प्रतिष्ठान,National Peace Trust,,,,,,,,,
Kathmandu,वेलफेयर सोसाइटी नेपाल,Welfare Society Nepal,,Chovar,,,,,,,
Kathmandu,संस्कृति तथा वातावरण संरक्षण समिति,Culture and Environment Protection Committee,,,,,,,,,
Kathmandu,राष्ट्रिय विकासका लागी मानव समुह ,Human Association for National Development,,Balkhu -14,,,,,,,
Kathmandu,कंकाली युवा क्लब,Kankali Youth Club,,,,,,,,,
Kathmandu,स्वास्थ्य तथा वातावरण विकास समाज,Health and Environment Development Society,,,,,,,,,
Kathmandu,विकास क्लव ,Development Club,,Ombahal-23,,,,,,,
Kathmandu,उत्थान ,Progress,,ghhanesor,,,,,,,
Kathmandu,नेपाल महिला विकास प्रतिष्ठान,Women Development Foundration Of Nepal ,,"Ktm, P.O. 2964",,,,,,,
Kathmandu,महिला पुनस्र्थापना केन्द्र,Women Rehabilitation Centre,,"Balkumari, Lalitpur",,,,,,,
Kathmandu,ग्रामीण सामुदायीक विकास समाज,Society For Rural Community Development ,,Kathmandu,,,,,,,
Kathmandu,बाल तथा महिला सहायता मञ्च,Child and Women Assistance Froum,,Bagbazar,,,,,,,
Kathmandu,भ्वाइस नेपाल,Voice Nepal,,Kathmandu,,,,,,,
Kathmandu,दलित तथा जनजाती उत्थान मञ्च,Dalit and Janajati Progress Forum,,Bauddha,,,,,,,
Kathmandu,आत्मनिर्भर विकास मञ्च,Self Dependent Development Forum,,"Bansthali, P.O.8552",,,,,,,
Kathmandu,समाज विकास परिचालन केन्द्र,Society Development Mobilization Centre,,Kathmandu,,,,,,,
Kathmandu,एकीकृत ग्रामीण विकास सेवा केन्द्र,Centre For Integrated Rural Development ,,Kumaripati-8,,,,,,,
Kathmandu,इकार्डस नेपाल,Ekardas Nepal,,Siphal-7,,,,,,,
Kathmandu,समाज सेवा तथा मानव अधिकारमा महिला ,Women in Social Service and Human Rights ,,Khadka Bhadrakali-7,,,,,,,
Kathmandu,"जनसख्या , वातारण तथा आर्थिक विकास समाज ","Society For Population, Environment and Economic Development ",,Lainchaur,,,,,,,
Kathmandu,महिला भावनात्मक एकता मञ्च ,Women Feelling Unity Forum,,Gongabu-5,,,,,,,
Kathmandu,वातावरणिय पर्यटन सहयोग समूह ,Environmental Tourism Helping Group,,Putalisadak,,,,,,,
Kathmandu,सृजना विकास केन्द्र ,Creative Development Centre,,Naksaal-1,,,,,,,
Kathmandu,नारायण परिवार क्लव ,Narayan Family Club,,Kathmandu,,,,,,,
Kathmandu,छिमेक समाज सेवा संस्था ,Neighbourhood Society Services Center,,Kathmandu,,,,,,,
Kathmandu,वासुकी युवा क्लव ,Basuki Youth Club,,Dahachok,,,,,,,
Kathmandu,कुलेश्वर क्लव ,Kuleswor Club,,Kuleswor-14,,,,,,,
Kathmandu,अन्तराष्ट्रिय मैत्री समाज ,International Friendship Society,,Kathmandu,,,,,,,
Kathmandu,त्रिपुरा सुन्दरी ग्रामीण विकास संघ ,Tripura Sundari Rural Development Organization,,,,,,,,,
Kathmandu,सामुदायीक कल्याण तथा विकास संस्था ,Community Welfare and Development Society,,Balaju,,,,,,,
Kathmandu,विश्व समाजिक मानवधिकार सुधार संघ नेपाल ,World Social Human Rights Alliance Reform Association Of Nepal,,,,,,,,,
Kathmandu,विज्ञान प्रविधीमा महिला ,Women in Science and Technology,,Tagkesor-4,,,,,,,
Kathmandu,जयन्ती युवा क्लव ,Jayanti Youth Club,,,,,,,,,
Kathmandu,महिला पुनस्र्थापना केन्द्र ,Women's Rehabilitation Centre,,"kumaigal-7, kath",,,,,,,
Kathmandu,एकिकृत सामुदायीक विकास केन्द्र ,Integrated Community Development Associations,,Kathmandu,,,,,,,
Kathmandu,बुद्धिष्ट बालगृह ,Buddhitha Children Home,,"Jorpati-2, Bahundhara",9851097058,,,,,,
Kathmandu,सामुदायिक विकास केन्द्र,Community Development Centre,,,,,,,,,
Kathmandu,रचना अभियान ,Rachana Abhiyan ,,Lajimpat-2,,,,,,,
Kathmandu,मानव अधिकार तथा वातावरण समुह,Human Rights and Environment Group,,,,,,,,,
Kathmandu,श्री बौद्ध क्षेत्र संरक्षण तथा विकास समिति ,Boudha Area Preaservation And Development Committee,,Bahauda-6,,,,,,,
Kathmandu,टोल सुधार उपभोतmा समिति,Tole Improvement Consumer Committee,,,,,,,,,
Kathmandu,यातना पिडीत सरोकार केन्द्र,Torture Victim Concern Centre,,Basbari,4265320,,,,,,
Kathmandu,कलिला ह्दयका आवाज,Kalika Hridayaka Aawaj,,,,,,,,,
Kathmandu,स्थानिय एकिकृत विकास समाज,Local Integrated Development Society,,,,,,,,,
Kathmandu,वाल अध्ययन तथा विकास केन्द्र,Centre For Child Studies and Development,,Lainchaur,,,,,,,
Kathmandu,महिला बाल तथा सामुदायिक विकास केन्द्र,Center For Women Children And Community Development,,Thapathali,,,,,,,
Kathmandu,सामाजिक प्रविधी एवं क्रियाकलाप अनुसन्धान केन्द्र,Social Tecnology and Activities Research Centre,,,,,,,,,
Kathmandu,एन.जि.ओ प्रमोशन सेन्टर,NGO Promotion Centre,,,,,,,,,
Kathmandu,सि.ए.आर. एन डब्लु जि,CARNWG,,,,,,,,,
Kathmandu,सृष्टि–महिला श–सतिmकरण तथा आत्म निर्भरता समाज,Sristi Women Empowerment and Self Dependent Society,,Kathmandu-34,,,,,,,
Kathmandu,समाज सुधार चेतनशिल महिला समुह,Social Improvement Awareness Women Group,,,,,,,,,
Kathmandu,समाज कल्याण प्रतिष्ठान,Social Welfare Trust,,,,,,,,,
Kathmandu,मानव अधिकार  संचार प्रतिष्ठान नेपाल ,Human Rights Communication Trust,,Thapathali,4231079,,,,,,
Kathmandu,स्वावलम्बन विकास केन्द्र ,Centre For Self Help Development,,Thapathali,,,,,,,
Kathmandu,नेपाल वाल सुरक्षा संघ,Nepal Child Protection Organization,,,,,,,,,
Kathmandu,नागरीक,Civil,,,,,,,,,
Kathmandu,नेपाल आधारभुत सामाजिक विकास परिषद,Nepal Basic Social Development Council,,,,,,,,,
Kathmandu,सुस्त मनस्थीति कल्याण संस्था,Mental Retardation Welfare Organization,,,,,,,,,
Kathmandu,मानव अधिकार तथा विकास मञ्च,Human Rights and Developmen Forum,,,,,,,,,
Kathmandu,भगवान युवा क्लव,Bhagawan Youth Club,,,,,,,,,
Kathmandu,सामुदायीक विकास मञ्च,Community Development Forum,,,,,,,,,
Kathmandu,ज्योति महिला साक्षरता केन्द्र ,Jyoti Women Literacy Centre,,,,,,,,,
Kathmandu,विकास आयोजना सेवा केन्द्र,Development Project Service Centre Nepal,,Kathmandu,4244723/4230175,,,,,,
Kathmandu,महिला जागरण केन्द्र,Women Empowermement Centre,,,,,,,,,
Kathmandu,चिसापानी सेवा समिती,Chisapani Sewa Samiti,,,,,,,,,
Kathmandu,उज्यालो तिर पाइला अभियान,Ujyalo Tir paila Abhiyan,,,,,,,,,
Kathmandu,जागरण युवा क्लव,Jagaran Youth Club,,,,,,,,,
Kathmandu,सञ्चारिका समुह,Sancharika Samuha,,,,,,,,,
Kathmandu,विश्व युवा अन्तराष्ट्रिय संस्था,World Youth International Organization,,,,,,,,,
Kathmandu,समाज सेवा तथा मानव अधिकारमा महिला तथा वालवालिका,Women and Children in Social Service and Human Rights,,,,,,,,,
Kathmandu,युवा क्रियाकलाप उत्थान केन्द्र,Youth Activities Progress Centre,,,,,,,,,
Kathmandu,समाज उत्थान मंच,Social Progress Forum,,,,,,,,,
Kathmandu,बालबालिका तथा वातावरण सरोकार (कनसर्न) नेपाल,Children and Environment Concern Nepal,,,,,,,,,
Kathmandu,वालहितकारी परियोजना,Children Welfare Project,,,,,,,,,
Kathmandu,प्रौढ हेरचाह केन्द्र,Adult Care Centre,,,,,,,,,
Kathmandu,कानुनी अनुसन्धान तथा कानुनी क्षेत्रको विकासको लागि कानुनी विदहरुको समूह नेपाल ,Alliance Of Lawyers For Research And Development Of Legal Sector In Nepal,,Kathmandu-10,4465054,,,,,,
Kathmandu,सर्पोट ग्रुप नेपाल,Support Group Nepal,,,,,,,,,
Kathmandu,मानव अधिकार विकास मंच,Human Rights Developmen Forum,,,,,,,,,
Kathmandu,आई.एन,I. N.,,,,,,,,,
Kathmandu,युवा अभियान,Youth Campagin,,,,,,,,,
Kathmandu,जागरण नेपाल,Jagaran Nepal,,Kathmandu-32,4219439,,,,,,
Kathmandu,मानव अधिकार शिक्षा रेडियो श्रोता क्लव राष्ट्रिय समिती,Human Rights Education Radio Listener Club National Committee,,,,,,,,,
Kathmandu,नेपाली वाल वालिका (चाइल्ड नेपाल),Child Nepal,,,,,,,,,
Kathmandu,हाम्रो अभियान,Hamro Abhiyan,,Kathmandu-32,,,,,,,
Kathmandu,प्याक्ट (सम्झौता) नेपाल,Pact Nepal,,,,,,,,,
Kathmandu,मौन प्रतिध्वनीहरुको पुनर्जागरण,Maun Pratidhwaniharuko Punrjagaran,,,,,,,,,
Kathmandu,मनमोहन स्मृती विकास केन्द्र,Man Mohan Memorial Development Centre,,Pharping,,,,,,,
Kathmandu,हातेमालो एकिकृत विकास समाज,Hatemalo Integrated Development Society,,,,,,,,,
Kathmandu,सामाजिक जिवनको लागी मंच,Forum for Social Life,,,,,,,,,
Kathmandu,ग्रामिण महिला उत्थान समाज ,Rural Women Development Society,,Nayapati-4,,,,,,,
Kathmandu,राष्ट्रिय बहिरा तथा सुस्त श्रवण संघ,National Association Of The Deaf And Hard Of Hearing,,"Ratopul, P.O.611",,,,,,,
Kathmandu,दीगो विकासका लागि साझेदारी नेपाल,Partnership for  Sustainable  Development Nepal,,"Buddhanagar, P.O.19782",,,,,,,
Kathmandu,सक्रिय समूह नेपाल,Active Group Nepal,,Koteswor-35,,,,,,,
Kathmandu,नेपाल सामाजिक सेवा केन्द्र,Nepal Social Service Centre,,Bhotebahal,,,,,,,
Kathmandu,अन्तरदृष्टि नेपाल,Innervision Nepal,,Dillibazar,,,,,,,
Kathmandu,ग्रामिण महिला उत्थान समाज,Rural Women Progress Society,,Sundarijal,,,,,,,
Kathmandu,राष्ट्रिय स्वास्थ्य जागरण संघ,National Health Awareness Union,,Ghattekulo,,,,,,,
Kathmandu,सहयोग केन्द्र नेपाल,Helping Point Nepal,,Baneswor -10,,,,,,,
Kathmandu,विश्व मित्रता नेपाल,Global Friendship Nepal,,Anamnagr-32,,,,,,,
Kathmandu,हिमाली जोश,Mountan Spirt,,Handigaun,,,,,,,
Kathmandu,शरोण,Society For Activation And Resurgence Of Nepal,,Ktm-34,,,,,,,
