Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
CreatingPossibilities Nepa,UNAKOHouseConstruction,Dang,"Inter-culturalWomen's Education Network (IWEN), P.O. Box 30034, Canada, Ph. (250)868-9601, Email:info@iwencanada.com","8,296,700.00",,"Women,Children and Youths"
CreatingPossibilities Nepa,Importance ofchild rights in academia; in the context of nepal and South Asia.,Lalitpur.,InternationalInstitute for the Rights of Child (IDE).,"550,000.00",,Child
CreatingPossibilities Nepal (CP) Nepal,Support for atransit home (group home) for children and youth students.,Kathmandu,"HCC- HimalayanChildren'sCharities, USA.","4,634,100.00",,Child/Youth
CricketAssociation of The Blind,"Seventhregional blind cricket tournaments for man and women,2070.",Rupandehi &Kathmandu.,"Global Fund forChildren, USA, www.globalfundfo rchildren.org","744,000.00","74,400.00",Disable(Sport)
CricketAssociation of The Blind,"Seventhregional blind cricket tournaments for man and women,2070.",Rupandehi &Kathmandu.,"Global Fund forChildren, USA, www.globalfundfo rchildren.org","744,000.00","74,400.00",Disable(Sport)
CricketAssociation of the Blind,For generalsupport of blind women cricket.,Kathmandu,"Global Fund forWomen, USA.","1,000,000.00","100,000.00",Disable
Cunina Nepal,Cunina NepalFull Educational Scholarship Program,"Kathmandu,Sankhuwasa va, Solukhumbu","Cunina Belgium,Belgium","33,354,644.00",,ChildrenandEducation
DalitDevelopment Society (DDS),Strengthening public awareness and advocacy to end untouchability and caste based discrimination in Nepal.,"Salyan,Dang & Dailekh.","Enabling StateProgram (ESP/DFID), Lalitpur.","4,071,566.00",,Castdiscriminati on
Dalit NGOFederation (DNF),Support topersons without citizenship certificate in the hill and mountain districts (5) of Nepal.,"Bajhang,Dadeldhura, Surkhet, Salyan & Dang.","United NationsHigh Commissioner for Refugees (UNCHR), Nepal.","13,530,410.00",,Dalit
Dalit WelfareOrganization (DWO),Move for newhorizon program II P.,Dang,"Swiss Academyfor Development, Switzerland,","24,645,859.00",,Dalit
Dalit WomenRight forum Nepal (DWRF),Campaignagainst discrimination and violence against women/girls.,Kailali,"Open SocietyFoundation/Wom en Right Program,","2,175,024.00",,Women/Education
Dayako Sewa -Nepal,a. MercyChildren Home (PKR) b. Mercy Children Home ktm.,Kaski &Kathmandu.,"ForgottenChildren, USA, forgottenchildren@comcast.net& Steps of Hope Outreach, USA. www.stepsofhope.org, email: dave@stepsofho pe.org.","2,793,000.00","286,229.00",Child home
DemocraticFreedom & Human Rights Institute,Promotingthe civic dialogue on contentious issues.,"Panchthar,Ilam, Jhapa, Dhankuta, Sunsari, Saptari, Ramechhap, Dolakha, Sindhupalch owk, Dhanusha, Sindhuli, Parsa, Lamjung, Nuwakot, Rasuwa, Kapilvastu, Gulmi,Palpa,Rolpa, Dang, Bardiya, Dailekh, Surkhet, Banke, Dadeldhura, Kailali, Kanchanpur, Syangja, Gorkha, Tanahun.","NationalEndowment for Democracy, America.","3,800,000.00",,Socio-political
DemocraticFreedom & Human Rights Institute,Dissemination and interactive program2013-2014 on OHCHER'S conflict report (2012),"Udayapur,Jhapa, Dhankuta, Morang, Siraha, Ramechhap, Kavre, Dhanusha, Sindhuli, Chitwan, Myagdi, Kaski, Gorkha, Rupandehi, Palpa,Rolpa, Dang, Surkhet, Dailekh, Banke, Bardiya, Kailali, Kanchanpur, Doti & Dadeldhura","British Embassy,Nepal.","20,090,000.00",,Peacebuilding
DemocraticFreedom & Human Rights Institute,Emploringaccountability on human rights violations and reconciliation initiatives in Nepal.,"Kathmandu,Makawanpur, Ramechhap, Rautahat, Dhanusha, Udayapur, Siraha, Ilam, Kapilvastu, Rolpa, Banke, Bardiya, Kailali.","Foundation OpenSociety Institute(FOSI), USA.","5,394,410.00",,Socio -Political
Destitute andOrpahn Children Safeguarding Foundation Nepal (DOCS Foundation),Budget forcontinuation of children home.,Lalitpur,"1. (DanishSociety for International Child Care (DANAdopt),  2. Diggit Entertainment Group, USA. 3. Mrs. Andrea Gabriela Ziesche and his husband, Germany 4.Nepal Aki Association, Spain.","16,129,420.73",,Child home
DevelopmentProject Service Centre (DEPROSE - Nepal),Humanitariancapacity building for Emergency Food Security and Vulunerable Livelihoods (EFSVL).,"Kathmandu,Sarlahi, Dhanusha, Saptari, Kanchanpur, Nawalparasi& Kapilvastu.","OXFAM GB.Lalitpur. Www.oxfam.org.u k, oxnepal@oxfam. org.uk","1,863,455.00",,Disaster
DIDIBAHINI,"Women'ssafety audit in one selected VDC in each of the six project districts in Mid, Far and Central Region to promote safe communityfor all- ensuring participatory and secure transition project.","Kailali,Kanchanpur, Banke, Bardiya, Parsa & Bara.","UNWOMEN,Kathmandu.","2,367,107.50",,Women
DigitalBroadcast Initiative,Empoweringpeople with essential resources (EMPOWER).,Kathmandu,"Nepal PeaceTrust Fund, Kathmandu.","9,949,895.00","1,502,176.00",Communitation
DigitalBroadcast Initiative,"Radioprogram ""Sathi Sanga Manka Kura"".",Lalitpur,"AdolescentsDevelopment and Participation Section (ADAP), Unicef, Nepal.","24,850,266.00",,Youth
Disable andHelpless Rehabilitation Service Center Nepal Dharan19,"Advocacy,health education, rehabilitation and awareness program.",Morang &Sunsari,"Medical MissionAuxiliary/World Australia, Australia.","4,000,000.00","300,000.00",Disable
DisableEmpowerment and Communicatio n Center,Foresteringaccountability in budget utilization and participationof persons with disabilities at local level.,Banke &Bardiya.,"Foundation OpenSociety Institute(FOSI), USA.","1,949,250.00",,Disable
Disabled andHelpless Children New Life Center Nepal,Buildingconstruction to disable and helpless children protection.,Kathmandu,"Surya AssociationDrukpa Suisse, Matie, Jose de quevedo, Geneva.","20,600,000.00",,Disable
Disabled andHelpless Children Newlife Centre Nepal,,Kathmandu,"a. The RoseInternationalFund for Children, USA.info@trife.or g b. Suedriscoll, Australia, suedrise@hotmail.com c. Sally Stowe, Australia, sallystowe@gmail.com d. Children of Asian (COA), email: matisse.drozbarth olet@euromed- management.net. Www.childrenofa sia.wix.com e. Deborah Cross, Australia, email: dfx_11@hotmail. com f. Roberts Celia United Kingdom, email: celiaroberts11@g mail.com","1,930,475.00","111,500.00",
DisabledService Association (DSA),Buildingconstruction of disable friendly home.,Lalitpur,"Jylag Foundation,Switzerland.","300,000.00",,Disable
DisabledService Association (DSA),Buildingconstruction of disable friendly hostel.,Lalitpur,"Sahayata e.v.,","19,800,000.00",,Disable
DisabledWelfare Association - Hope Centre,Hope center.,Kathmandu,"New FuturesNepal, UK.","5,500,000.00",,Disable
DisasterPreparedness Network Nepal,Publication ofNepal Disaster Report 2013,Kathmandu,Different Donors,"1,400,000.00","100,000.00",Disaster
DubleleeMilijuli GroupsKhijiphalate -9,Schoolsupport program.,Okhaldhunga,StichtingBevordering Ontwikkeling Sherpaland.,"450,000.00",,Education
DynamicMultipurpose Society,Advocacy forensuring human rights and social justice in Nepal,Achham.,"Open SocietyInstitute, UK.","1,415,650.00",,HumanRight/Justic e
EarlyChildhood Development Center (ECDC),Butterflyhome-ecdc phase 1 (buy a plot of land).,Kathmandu,"Give 2 Asia, USA.","24,159,305.69","4,700,000.00",Child home
EarlyChildhood Development Center (ECDC),ECDCresidential home for inmates children of Nepal.,Kathmandu,"GlasswatersFoundation, Canada.","3,060,000.00","444,487.00",Child
EarlyChildhood Development Center (ECDC),Purchase offixed assest (installation of solar power and purchasing dining tables and kitchen skinal ECDC resicental home).,Kathmandu.,"Give 2 Aisa, USA.","816,731.00",,Child
EasternTamang Language Team,Producingmother tongue material in promoting the use ofEastern Taman Scripture.,Lalitpur,"1. Wycliffe USA,2. WycliffeSwitzerland.","1,425,000.00","855,000.00",Religion
EcoHimal Nepal,Saving Mount Everest - waste management project.,Solukhumbu.,,,,Environmen t
EcoHimalNepal,Children'seducation scholarship,Kathmandu,Eco HimalAustria.,"1,335,986.37",,Education
EducateNepal,Communitydevelopment program.,Kathmandu,"Transform TheNations Ltd., Australia.","22,950,000.00",,Community development
EducateNepal,Communitydevelopment program.,Kathmandu,"Transform TheNations Ltd, australia.","22,950,000.00",,Community development
EducationMission Nepal,Child home.,Kathmandu,"Vishrut Jain &PriyadarshiniRath, Singapore.","1,960,400.00",,Child home
EducationalHorizons Nepal,An Integratedprogram on Early Childhood Development and Education (ECDE).,Dhading,"Himalpartner,Norway.","7,575,712.00",,Education/Child
ElijahCounseling and Training Centre (ECTC),Providingpastoral care and counselling.,Lalitpur &Kathmandu.,"a. UK BaptistMission Society,Uk. b. Samaritan's Purse Canada,Canada. c. Forum Wiedenest e.v.Germany.d. InternationalNepal Felloship, UK. e. Dr. Irmgard spittler, Germany.","2,990,011.00","475,000.00",Religion
Environmentand Public Health Organization (ENPHO),Promote safeand productive reuse of waste.,Surkhet &Dailekh,"RUAFFoundation, TheNetherlands.","2,130,000.00",,Environment
Environment,Multistakeholder forestry programme implementati on East/Centre.,"Okhaldhunga, Khotang & Ramechhap.","Ministry ofForests and Soil Conservation and the Governments of UnitedKingdom (UK), Switzerland and Finland..www,chil dhood.org","130,245,100.00",,Forestryresource manageme nt
EnvironmentalCamps for Conservation Awareness,Climatechange and its impact on transhumant herder's well being : A comparative study of two geographical belt at Humla.,Humla,Colorado StateUniversity.,"600,000.00
71",,Environment/Health
EthnobotanicalSociety of Nepal (ESON),Bioprospecting on biological materials of Nepal.,Makawanpur,Korea ResearchInstitute of Bioscience & Biotechnology (KRIBB).,"3,000,000.00",,Health/Education
Faith,Intensified early and increased TB case detection amongstchildren (0-14 years).,Kathmandu,"Stop TB Partnership/TB React, Switzerland.",,,
Federation ofCommunity Forest Users Nepal (FECOFUN),Communityforestry service program.,"Panchthar,Ilam, Bara, Sindhupalch owk &Kavre.","The MultiStakeholdr Forestry Programme (MSFP), Lalitpur.","15,000,000.00",,Forest
Federation ofCommunity Forestry Users (FECOFUN),Energyefficiency/ren ewable energy capacity building program.,"Banke,Bardiya, Kailali & Kanchanpur.","GIZ, Germany,Lalitpur, giz- nepal@giz.de","3,349,900.00",,CommunityForest
Federation ofCommunity Forestry Users (FECOFUN),Advocacycampaign to ensure right are included in policy agenda.,"Chitwan, Makawanpur, Bara, Sarlahi, Dhanusha, Sindhuli, Sunsari, Dhankuta, Morang, Jhapa & Ilam.","Rights andResource Groups, USA, www. Rightsand resources.org","2,975,000.00",,CommunityForest
Federation ofCommunity Forestry Users (FECOFUN),Advocacycampaign to ensure right are included in policy agenda.,"Chitwan,Makawanpur, Bara, Sarlahi, Dhanusha, Sindhuli, Sunsari, Dhankuta, Morang, Jhapa & Ilam.","Rights andResource Groups, USA, www. Rightsand resources.org","2,975,000.00",,CommunityForest
Federation ofCommunity Forestry Users,Supporting todevelop new forest sector policy and strategy through consultation with civil society organizations and local communities in Nepal.,"Morang,Sunsari, Dolakha, Dang, Rolpa& Dadeldhura.","Asia-PacificNetwork for Sustainable Forest Management and Rehabilitations, (APFNet), Government of China.","8,500,000.00
73",,Forest
Federation of Sexual & Gender Minorities - Nepal (FSGMN),"Capacity strengthening of MSM/MSW, network in Nepal.",Kathmandu,"Family Health International (FHI), Kathmandu.","7,212,020.00",,Health(HIV/AIDS)
Federation ofSexual & Gender Minorities - Nepal (FSGMN),"HamroSawal, Hamro Sahabhagita of Adolescent Development and Participation (ADAP) section of UNICEF",Kathmandu,"UNICEF,Kathmandu","4,042,888.00","442,000.00",Sexual andGenderMinorities
Feminist DalitOrganization (FEDO),Increasingdalit women's political participation for a sustainable peace in Nepal.,"Banke,Kailali, Kanchanpur& Kathmandu.",DutchGovernment FLOW funding/Womanki ng Worldwide.,"21,213,180.00",,Dalit/Women
Feminist DalitOrganization (FEDO),Reducingviolence against dalit women and increasing their political participation.,"Palpa,Dadeldhura, Gulmi & Dang.","Open SocietyFoundation/IWP, USA.","5,189,000.00",,Dalit(Women)
First Love -Nepal,First loveNepal ChildHome.,"Kavrepalanchowk, Chitwan, Bardiya & Kathmandu.","First LoveInternationalMinistries, USA.","9,930,600.00
74","264,270.00",Child home
Food - FirstInformation & Action Network (FIAN Nepal),Right to foodin Nepal.,Bardiya &Banke.,"FIAN Norway,http/www.fian.no, post@fian.no &@ fian_norge Ph.+47-901 38 264","1,824,000.00",,Foodsecurity
ForestactionNepal,"Pursuingunderstandin g of the value chain of principal commodities associated with deforestation and forest degradationin the Terai, Nepal.",Lalitpur,"The InternationalInstitute for Environment & Development, UK.","12,120,000.00",,Forest
ForestactionNepal,Communitybased Adaptive Learning in management of Conflicts and Natural Resources (CALCNR).,"Kavre,Dolakha & Nawalparasi","MIDDLESEXUNIVERSITY, London.","13,760,800.00",,Naturalresources manageme nt
ForestractionNepal,Fosteringmulti- stakeholders forest policy process through CSO engagement and dialogue.,Lalitpur,"Multi StakeholderForestry programme, Kathmandu.","3,996,450.00",,Forest/Civilsociety
ForestractionNepal,"Enhancingfood security through community forestry: An action research on policy, institutions and management options.",Dhankuta &Morang.,"Multi StakeholderForestry programme, Kathmandu.","4,800,060.00","953,100.00",Forest/Civilsociety
Forum forCommunity Upliftment System (FOCUS,"Mountaincommunity development through selected Agriculture Value Chain in upper Dhading (AVCD), project.",Dhading,"APERION, ItalianVoluntary Association, Kathmandu.","7,252,170.00",,Agriculture/Livestock
Forum forProtection of People's Rights (PPR Nepal),Comprehensive care to torture victims.,Kathmandu,InternationalRehabilitation Council for Torture Victims (IRCT) Denmark,"870,000.00",,Human right
Forum forProtection of People's Rights (PPR Nepal),Capacityenhancement of stakeholders and review of UPR recommenda tion ontorture.,Kathmandu,"United NationsResident Coordinator's Office (UNRCO), Kathmandu.","782,170.00",,Human right
Forum forProtection of People's Rights Nepal (PPR Nepal),Basictraining/orient ation on exhumation forensic.,Kathmandu,"The AsiaFoundation (TAF), Kathmandu.","1,271,800.00",,Women/Child/Men
Forum forProtection of People's Rights,Combatingtrafficking in persons (CTIP) program.,"Kathmandu,Kavrepalanc howk & Makawanpur","The AsiaFoundation (TAF), Kathmandu.","3,017,035.00",,Women/Chi ld/Men
Forum forProtection of People's Rights,Training oftrainers enhancing capacity on gender based violence in Nepal.,Kathmandu,"Internationalinstitute of Social Erasmus University Rotterdam, The Netherlands. Telefax : 31 704260 770","5,775,325.00",,Women/Men
Forum forProtection of People's Rights,CombatingTrafficking In Persons (CTIP) program,Kavrepalanchowk,"The AsiaFoundation (TAF), Nepal, www.asiafoundati on.org","827,000.00",,Women/Men
Forum forProtection of People's Rights,Refugeeprotection inNepal.,Kathmandu,"UNHRC, Nepal.","506,500.00",,Women/Men
Forum forProtection of Public Interest (PRO PUBLIC),NationalCapacity Development Institute (NCDI).,Kathmandu,"The World Bank,USA. P.O.B.798","670,346.25",,socialAccountabili ty
Forum forProtection of Public Interest (PRO PUBLIC),Communitymediation program.,Dhanusha &Sarlahi.,"The AsiaFoundation, Kathmandu.","1,019,000.00",,Community development
Forum forProtection of Public Interest (PRO PUBLIC),"Capacitybuilding of local dialogue facilitatorsand organizations, establishmen t and sustainability of dialogue centers for peace building.","Udaypur,Mahottarai, Rupandehi, Dang, Banke& Bardiya.","GIZ, Lalitpur,Nepal.","9,845,550.00","1,480,000.00",Peacebuilding
Forum forProtection of Public Interest (PRO PUBLIC),Conductingconsultationin the districts and constituencie s for gender responsive electoral process.,75 district.,"UNWOMEN,Kathmandu.","13,826,250.00",,Election
Forum forProtection of Public Interest (PRO PUBLIC),"Capacitybuilding of community mediators, coordinator/tr ainers and local professionals.",Dhanusha &Sarlahi.,"GIZ, Kathmandu,Giz-nepal@giz.de","3,670,900.00",,Peacebuilding
Forum forProtection of Public Interest (PRO PUBLIC),NationalCapacity Development Institute (NCD).,Kathmandu,The World Bank.,"6,435,850.00",,SocialAccountbilit y
Forum forProtection of Public Interest (PRO PUBLIC),NationalCapacity Development Institute (NCD) (Mentoring andCoaching to31 CSOs on Monitoring of the services of Public Service).,Kathmandu,The World Bank.,"1,927,395.00",,SocialAccountbilit y
Forum forProtection of Public Interest (PRO PUBLIC),NationalCapacity Development Institute (NCD)(Event: PETS Workshop).,Kathmandu,The World Bank.USA.,"2,049,694.00",,SocialAccountabili ty
Forum forWomen,CombatTrafficking in Person (CTIP).,Kathmandu,"The UnitedNations Entity for Gender Equality and the Empowerment of Women (UN -WOMEN), Kathmandu.","3,841,100.00",,Legal
Forum forWomen,"Design andprinting of the UNSCR Resolutions1325, 1820,1888, 1889,1969, 2106,2122.",Kathmandu,The UnitedNations Population Fund (UNFPA).,"468,125.00",,Women/Child
Forum forWomen,Infromationand support to people without civil documentatio n.,Kathmandu,United NationsHigh Commissioner for Refugees (UNHCR).,"9,259,235.00",,Women/Child
Forum forWomen,Women'saccess to justice: gender sensitive of TJ and RTC ordinance in Nepal.,"Morang,Makawanpur, Kaski, Banke, Kailali.","Foundation OpenSociety (FOSI), Nepal.","6,291,340.00",,Justice
Forum forWomen,Step towardsequality through enhancing participation and combating VAW.,Kathmandu,"British Embassy,Kathmandu.","5,328,000.00",,women/Disable
Forum forWomen,Pilot the useof Local Level Legal Remedies through district level courts for bottom up public interest litigation tosecure socio- economic rights in Nepal.,"Nawalparasi,Makawanpur& Morang.","The FordFoundation, India.","19,000,020.00",,Human right
Friends ofNature (FON),Green Schoolin Nepal: Developming youngleaders for a sustainable future.,Chitwan,"DeutscheWelthungerhilfe, Germany.","5,207,500.00",,Education/Environmnt
Friends ofNeedy Children,Manisha Singh Punarjevan Niwas (MSPN) (A care and support center for the children infected and affected by HIV/AIDS).,Lalitpur,MSPN and others individual donor,"882,713.79",,Health(HIV/AIDS)
Ganesh HimalAssociation,Educationaland Physical construction project.,Gorakha,"Les Amis DeLaprak, France.","3,079,800.00","334,952.00",Education
GeneralWelfare Pratisthan,"IntegratedFP, HIV prevention, care, treatment services for FSWs, Clients of FSWs and PLHIV inMakawanpur, Bara and Rautahat Districts.","Makawanpur, Bara & Rautahat.","FHI 360, USAIDFunded Saath- saath Project, Nepal.","64,161,884.00",,Education/Health
Global PeaceYouth Corps - Nepal (GPYC - Nepal),Global peaceand youth environment program.,Kathmandu,"Global PeaceYouth Corps International, USA.","4,900,000.00",,Peace/Youth
Global PeaceYouth Corps - Nepal (GPYC - Nepal),Global peaceand youth empowermen t program.,Kathmandu,"Global PeaceYouth Corps International, USA.","2,940,000.00",,Youth
GloriousMission Nepal,a. Childhome construction.& b. Toilet remaking.,Kathmandu& Makawanpur.,"UNCLE, UK.","1,755,000.00","642,840.00",Education
Good HandsNepal,EducativeSkill oriented Project (ESP)/Youth center for enhancingthe access to educationand development the skills.,Kathmandu,"Good HandsKorea, SouthKorea.","5,517,164.00",,Child/women/Youth
Good HandsNepal,Schoolbuilding construction support.,Kapilvastu,"Good Hands,Korea.","5,137,874.00",,Education
Good HandsNepal,Librarybuilding construction repair school building support.,Kapilvastu,"Good Hands,Korea.","3,309,753.00",,Education
Grace forNepal,Child home,Lalitpur,"ROPE, UK.","1,484,796.00",,Child home
Grace Home,SupportingGrace Home.,Kathmandu,"Andreas Josson,Hollands Lan, Sweden, Ph no.+4795815452","32,212.15",,Child home
GrassroootMovement in Nepal (GMIN),Makekoverone school at a time.,"Dang,Surkhet & Parbat.","GrassrootMovement inNepal, USA.","4,148,600.00",,Education
GrassrootMovement inNepal,Makeove oneschool at a time.,Dang,GrassrootMovement inNepal. USA.,"3,210,250.00
84",,Women/Education
Greater GraceFellowship - Nepal,Scholarshipand biblecal study to the orphanage children.,Kathmandu,"Greater GraceWorld Outreach, USA. and MountinLife Church, USA","5,848,000.00",,Child
Green TaraNepal,"Collaborationfor health promotion, research and strengthening research capacity between Green Tara Nepal and University of Sheffield, United Kingdom.",Kathmandu& Nawalparasi.,"University ofSheffield, UK.","3,225,000.00",,Research
Growing inNepal,Health andeducation project.,Kaski,"Grandir au Nepal,Un Futur Pour Ses Enfants Pauvers, France.","1,170,000.00",,Women
GuardianFederation of Persons with Intellectual Disabilities,Strengthening participation in society of people with intellectual disabilities.,"Bhaktapur,Rupandehi, Gulmi & Myagdi","FO Norway,Norway.","1,150,000.00",,Disable
Gymn,Bibalicaltraining and community deveelopmen t program.,"Kaski,Surkhet, Dang, Sunsari, Jhapa, Dolakha, Banke, Morang, Kathmandu, Lalitpur, Nuwakot & Chitwan.","Blobal YouthMinistry Network International, office@global- youth.com, www.global- youth.com","1,728,000.00","125,000.00",Communitydevelopemn t/ Religion
GYMN,Communitydevelopment program.,Rautahat,"WendellAnderson, Crossroads Community Church. B. Jill Scott, Interstate Batteries, Inc.","373,500.00",,Community development
HappyChildren Home,HappyChildrenHome,Lalitpur,"1. World HelpOrganization, USA. 2. UK Support Group, UK.","1,551,000.00","7,500.00",Child home
Happy HomePokhara,Happy HomePokhara,Kaski,"Swiss Friends ofHappy Home, USA. and Nepal Development Association/Christ Church Harpenden, USA.","4,437,144.00","121,227.00",Child home
HealthResearch and Social Development Forum (herd),"Understanding TB Control: technologies, ethics and programmers.",Kathmandu.,"The University ofEdinburgh, Scotland","37,658,303.00",,Health
HealthResearch and Social Development Forum (herd),Empoweringdistrict-level managers to improve health worker performance in Nepal.,"Dang,Baitadi & Rasuwa.","World HealthOrganization, Switzerland.","21,118,801.00",,Halth/Research
Heifer ProjectNepal,"NewcastleDisease (ND) control in backyard poultry (BYP) in Nepal, Phase II.","Banke,Bardiya & Surkhet.","Global Alliancefor Livestock Veterinary Medicine (GAL Vmed), Spens.","8,055,207.00",,Agriculture(poultry)
Help NepalNetwork,Reliefmaterial support to flood to flood victims of Kanchanpur and Dadeldhura District.,Kanchanpur& Dadeldhura,"Help NepalNetwork - UK (Tel:02082791839, email: admin@helpnepa l.net), Help Nepal Network, USA, Help Nepal Network, Austria (Ph:00436765648122 email: sapkota_star@ya hoo.com)","963,687.00",,NaturalDisaster
Help NepalNetwork,Support toJanata Secondary School for 4 room building construction.,Sankhuwasabha,"Help NepalNetwork - UK (Tel:02082791839, email: admin@helpnepa l.net), Help Nepal Network, USA, Help Nepal Network, Austria (Ph:00436765648122 email: sapkota_star@ya hoo.com)","484,745.00","1,204,855.00",Education
Help NepalNetwork,Support otBal Sarathi.,Kathmandu,HeNN USA.,"451,700.00",,Education
Help NepalNetwork,"Support toShiksha Nepal ""Euta Kitab Literacy Campaign2015"".",Kathmandu,Help NepalNetwork - USA www.helpnepal.n et,"175,000.00",,Education
Help NepalNetwork,Support toRara Campus for Library.,Mugu,"NepaleseStudents Association - HeNN US,","140,000.00",,Education
Help NepalNetwork,Support tocentre for disabled children's assistence (CDCA) for future.,Kathmandu.,"Mr. JasonCheong, Dental Surgeon, Malaysia.","71,462.00","60,638.00",disable
Help NepalNetwork,Support tochildren care club.,Kathmandu.,"Mr. JasonCheong, Dental Surgeon, Malaysia.","144,000.00",,Disable
Help NepalNetwrok - Nepal,"Support toShree Matedewal Janasahayogi Higher Secondary School for maintainence work oflibrary room, books, furnitures and two computers.",Parbat,Rotary Club ofFolkestone - UK.,"729,637.88",,Education
Help to HelpNepal,Sabai laiswasthya sewa.,Tanahun.,"Medi Himale.v.Germany, www.medihimal.o rg, office@medihimal.org","4,117,500.00",,Health
Higher GroundCommunity Development Nepal (HGCDN),Counselingprogram.,Lalitpur,"Himal Partner,Norway.","388,737.00","64,515.00",Health
Higher GroundCommunity Development Nepal,Conselingprogram.,Lalitpur,"Himal Partner,Norway.","1,921,230.00","191,999.30",Health(psychologi cal)
Higher GroundCommunity Development Nepal,Empowerment to Combat Human Trafficking (ECHT),"Lalitpur,Kathmandu, Chitwan, Bardiya, Lamjung.","Women At RiskInternational(WAR-Int'l), USASwiss Agency for Development and CooperationSDC. Lalitpur.","1,470,911.00",,ComtabingTrafficking
HimalAssociation,TravellingKIMFF 2014,"Sunsari,Udayapur, Khotang, Parsa, Makawanpur, Nuwakot, Rasuwa, Pyuthan, Rolpa, Jajarkot, Banke.",,"3,128,000.00","342,000.00",Education/Gender
HimalAssociation,Why Poverty -A short film competition.,Kathmandu,"StepsInternational, South Africa,","1,150,000.00",,Povertiallivation
Himalaya AshaKendera,New LifeHouse.,Lalitpur,"ComunidadeCrista,","540,000.00","330,000.00",Children
Himalaya AshaKendera,"HopeChildren's Home ""Naya Dhoka""",Lalitpur,"Hope forNation(Canada), Dutch Local Organization (The Netherlands) Centro Cristano Alpha and omega Houston (Taxzs)","1,944,000.00","700,000.00",Children
Himalaya AshaKendera,Hope DolpaChildren'sHome.,Lalitpur,"Relief forOppressed People Everywhere (ROPE), UK","1,695,407.00",,Children
Himalaya AshaKendera,PromiseChilden'sHome.,Dolkha(Giri7),"CEIF MinistryInternational,","1,404,000.00",,Children
Himalaya AshaKendera,Sharn Home.,Lalitpur,"We Care Group,Malaysia","3,240,000.00",,Children
HimalayanAnandit Shakti(Himalayan Joy Force),Child homeand educational support program.,Kathmandu,"HimalayanSupport RY, Finland.","1,066,000.00","57,500.00",Child/Education/Health
HimalayanBible Study Academy,Biblelicallytraining and community developemnt program.,"Panchthar,Morang, Sunsri, Solihumbu, Sankhuwasa bha, Ramechhap, Okhaldhung a, Dhankuta, Kathmandu, lalitpur, Nuwakot, Rasuwa, Dhadhing. Gorakha, Myagdi, Mustang, Rukum, Tanahun, Rautahat, Dang, Bardiya, Banke, Kapilvastu, Surkhet, Dailekh, Kanchanpur, Salyan, Dolpa,","New DirectionInternational, USA and other different donors","11,285,100.00","1,253,900.00",Religion/Community development
HimalayanChildren Society,Feederschool support projects.,Humla,"Karuna Shechen,France.","10,929,000.00",,Education
HimalayanChildren's Care & Environmental Conservation Program (HCCH),Child carecenter,Kaski.,"Friends of HCCH,UK and Julie Beasley, Australia and otherdifferent donors","3,269,970.00",,Child
HimalayanChildren's Care & Environmental Conservation Program (HCCH),Child carecenter,Kaski.,"Friends of HCCH,UK and Julie Beasley, Australia and otherdifferent donors","3,269,970.00",,Child
HimalayanGrassroots Womens Natural Resouces Management Association (HIMWANTI) Nepal,Awarenessprogram to gender and social equity.,Kavre,Women EarthAlliance.,"425,000.00",,Women
HimalayanGrassroots Womens Natural Resouces Management Association (HIMWANTI) Nepal,Womendevelopment policy in Nepal.,Bank,UNDP,"939,000.00",,Women
HimalayanGrassroots Women's Natural Resource Management Association (HIMAWANTI) Nepal,Capacitybuilding of women stakeholders on climate change and RED+ and advocacy for their effective role sustainable forest management in Nepal.,Makawanpur& Sarlahi,"The Center forPeople and Forests (RECOTC), Thailand. Tthaung@recoftc. org","967,680.00",,Women
HimalayanGrassroots Women's Natural Resource Management Association (HIMWANTI) Nepal,Empoweringgrassroots women to increase their voice and access in local and nationalpolicy and decision making processes through institutional and strategic capacity building of Himwanti Nepal.,"Banke,Bajhang, Khotang, Bhojpur, Achham, Jajarkot, Kalikot, Sindhupalch owk, Dailekh& Kailali.","Multi StakeholderForestry Programme (MSFP), Kathmandu.","4,980,973.00",,Women
HimalayanHealth & Environment Services Solukhumbu,Mother andchild health and nutrition component.,Solukhumbu.,"United NationsWorld Food Programme, Lalitpur.","3,322,169.00",,Health
HimalayanHealth & Envrionment Services Solukhumbu,Phapluelectricity project.,Solukhumbu.,"BelgiumCompany. (Maurice Roch), Belgium.","1,892,895.00",,Hydropower
HimalayanHealth & Envrionment Services Solukhumbu,Mother andchild health and nutrition component.,Solukhumbu.,"United NatinsWorld Food Programme (UNWFP), Lalitpur.","7,393,693.00",,Health
HimalayanHuman Rights Monitors (Himrights),Buildingpeace in Nepal: Ensuring Participatory and Secure Transition (EPST).,Parsa,"UNWomen/Search for Common Ground, 895388","895,388.00",,Conflictvictims
HimalayanHuman Rights Monitors (HimRights),Enhancingempowermen t of youthfrom marginalized groups in Nepal for inclusive democracy and greater realization of human rights.,"Banke,Bhojpur, Makawanpur& Lalitpur.","The SwidishInternational Development Cooperation Agency (Sida), Sweden.","57,664,083.00",,Youth
Himalayan JoyForce (Himalayan Anandit Shakti),Childeducation development program.,Kathmandu,"Friends for Nepal -Himalayan Development Aid, Austria.","3,445,000.00","640,000.00",Child/Education
