District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Gulmi,नव प्रभात युवा संघ,Nawa Prabhat Youth Organizatin,,Hardineta-6,NA,,NA,,NA,NA,NA
Gulmi,गुल्मी एकता परिषद,Gulmi Unity Council,,Tamghas-1,NA,,NA,,NA,NA,NA
Gulmi,सामुदायिक ग्रामिण विकास केन्द्र,Rural Community Development Centre,,"Tamghas-4, Khanigaun",079-520223,,bistarajendra07@yahoo.com,,9857027851,Bharat Bd Chand,"health, income generation, skill development"
Gulmi,राष्ट्रिय ग्रामीण तथा सामुदायिक बिकास केन्द्र,National Rural and Community Development Centr,,"Tamghas-4,Gulmi",079-520398,,sewanepal@gmail.com,,9857029236,Resham Kunwar Chhetri,"HIV/AIDS,Education,Child rights,Health"
Gulmi,ग्रामीण विकास युवा मञ्च ,Rural Development Youth Forum,,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,"जन जागरण केन्द्र, नेपाल","Public Awareness Centre, Nepal",,Tamghas-1,NA,,NA,,NA,NA,NA
Gulmi,राष्ट्रिय सामाजिक विकास संघ – नेपाल,National Social Development Organization Nepal,,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,सामाजिक जागरण अभियान,Social Awareness Campaign,,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,चिन्तामणी निमकला भुसाल प्रतिष्ठान,"Chintamani, Nimakala Bhusal Trust",,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,मानव अधिकार रेडियो स्रोता क्लब  ,Human Rights Radio Listener Club,,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,ग्रामीण विकास तथा चेतना समूह   ,Rural Development and Conscious Group,,Thulo Lumpek-2,NA,,NA,,NA,NA,NA
Gulmi,नेपाल राष्ट्रिय दलित समाज कल्याण संघ ,Nepal National Dalit Society Welfare Organizatin,,Tamghas-1,NA,,NA,,NA,NA,NA
Gulmi,आशा अपाङ्ग केन्द्र ,Asha Disable Centre,,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,प्रगतिशील समुदाय विकास केन्द्र ,Progressive Community Development Centre,,NA,NA,,NA,,NA,NA,NA
Gulmi,नव प्रभात युवा संघ ,Nawa Prabhat Youth Organizatin,,NA,NA,,NA,,NA,NA,NA
Gulmi,अर्घाखाँची मैत्री समाज ,Arghakhachi Maitri Samaj,,NA,NA,,NA,,NA,NA,NA
Gulmi,महिला अधिकार तथा चेतना केन्द्र नेपाल ,Women Rights and Conscious Centre Nepal,,NA,NA,,NA,,NA,NA,NA
Gulmi,जिल्ला उपभोक्ता मञ्च ,District Consumer Forum,,NA,NA,,NA,,NA,NA,NA
Gulmi,जनविकास केन्द्र ,Jana Bikash Kendra ,,"Tamghas-4,Gulmi",NA,,NA,,9757009340,Bhupal Pokheral,"education, health, livelihood"
Gulmi,गतिशील जनचेतना अभियान ,Dyanamic Public Conscious Campaign,,"Tamghas-1,Gulmi",079-521167,,dpccgulmi09@gmail.com,,9747008014,Yubraj Khatri,"education, health, livelihood"
Gulmi,रेसुङ्गा संरक्षण समिति ,Resunga Protection Society,,"Tamghas, Gulmi",079-520411,,,,,Rudra Bd Bhujel,"Religion, forest, livelihood"
Gulmi,सामाजिक तथा वौद्धिक विकास परिषद ,Social and Intellectual Development Council,,"Tamghas-4,Gulmi",079-690794,,sidecnepalgulmi@yahoo.com,,9847166120,Loknath Acharya,Income generation 
Gulmi,मानव अधिकार सचेतन संस्था नेपाल ,Human Rights Awareness Organisation,,"Tamghas-4,Gulmi",079-520561,,jankari2005@yahoo.com,,9857061520,Hari Pd Pokheral,
Kapilvastu,ज्योती ग्रामीण विकास केन्द्र,Jyoti Rural Development Centre,,"Mahendrkot-7, Pattharkot",,,,,,,
Kapilvastu,सामाजिक विकास केन्द्र,Social Development Centre,,"Niglihawa-1, Jagadispur",,,,,,,
Kapilvastu,जन आदर्श सामाजिक केन्द्र,Jana Aadarsha Social Centre,,Barakalpur-2,,,,,,,
Kapilvastu,जयनगर युवा क्लव,Jayanagar Youth Club,,"Jayanagar-7, Gorusinge",,,,,,,
Kapilvastu,ग्रामीण स्वाबलम्बन सामाजिक केन्द्र,Rural Self Reliant Social Centre,,Labani-1,,,,,,,
Kapilvastu,द युनाइटेड सोसीयल डेभ्लपमेन्ट सेन्टर,The United Social Development Centre,,Rajpur-3,,,,,,,
Kapilvastu,स्टार क्लव,Star Club,,"Kapilvastu-4, Taulihawa",,,,,,,
Kapilvastu,कपिलवस्तु सुचना केन्द्र नेपाल,"Kapilvastu Imformation Centre, Nepal",,"Kapilvastu-2, Aanandabag",,,,,,,
Kapilvastu,ग्रामीण विकास तथा वातावरण संरक्षण  केन्द्र,Rural Development and Environment Protection Centre,,"Niglihawa-3, Hasampur",,,,,,,
Kapilvastu,कालीका स्वाबलम्बन सामाजिक केन्द्र्र,Kalika Self Reliant Social Centre,,Kapilvastu-3,,,,,,,
Kapilvastu,महिला सेवा तथा जागरण समुह,Women Service and Awareness Group,,"Kapilvastu-4, Aanandabag",,,,,,,
Kapilvastu,सामाजिक बिकास केन्द्र,Social Development Centre,,Taulihawa,,,,,,,
Kapilvastu,जनज्योती युवा क्लव,Jana Jyoti Youth Club,,"Barkalpur-2, Imiliya",,,,,,,
Kapilvastu,मेचिकाली युवा क्लव,Mechi Kali Youth Club,,"Jayanagar, Gorusinge",,,,,,,
Kapilvastu,माउन्ट एभरेष्ट सामाजिक केन्द्र,Mount Everest Social Centre,,Kopawa-9,,,,,,,
Kapilvastu,राइज रुरल इलिट्रसी सोसाइटि एजुकेशन,Rise Rural Illiteracy Society Education,,"Niglihawa-7, Katuwa",,,,,,,
Kapilvastu,तौलेश्वर जागरुक क्लव,Tauleswor Jagruk Club,,"Kapilvastu-2, Texi Stand",,,,,,,
Kapilvastu,आर्दश समाज विकास परिषद,Ideal Social Development Council,,"Barkalpur-2, Imiliya",,,,,,,
Kapilvastu,सामुदायिक सरोकार केन्द्र,Community Concern Centre,,"Kapilvastu -4, Taulihawa",,,,,,,
Kapilvastu,सामाजीक जागरण तथा विकास संस्था,Social Awareness and Development Organization,,Jitpur-7,,,,,,,
Kapilvastu,कपिलवस्तु समाज कल्याण तथा वातावरण बचाउ कोष,Kapilvastu Social Welfare and Save Environment Protection Trust,,"Kapilvastu-4, Adalatroad",,,,,,,
Kapilvastu,इन्द्रेणी ग्रामीण विकास केन्द्र,Indreni Rural Development Centre,,"Indreni, Gorusinge-14",,,,,,,
Kapilvastu,सनसाइन सामाजिक क्लव,Sus Shine Social Club,,"Dhankauli-9, Chetaradehi",,,,,,,
Kapilvastu,आधारभूत गा्रमीण विकास सेवा,Basic Rural Development Service,,"Dubiya, Banagain-8",,,,,,,
Kapilvastu,काइली जागरण अभियान,Kaili Jagaran Abhiyan,,"Motipur-4, Botgaun",,,,,,,
Kapilvastu,शरद समाज,Sharad Samaj,,Chandrauta-7,,,,,,,
Kapilvastu,सोसीयल इण्ठीगेटेड कल्चरल अर्गनाईजेशन,Social Integrated Cultural Organization,,Kopawa,,,,,,,
Kapilvastu,विकासको लागि जनचेतना,Awareness for Development ,,Aanandabag,,,,,,,
Kapilvastu,रवि सामुदायिक स्वास्थ्य केन्द्र,Rabi Community Health Centre,,"Dhankauli, Bijgauri-3",,,,,,,
Kapilvastu,आदर्श मानव उत्थान केन्द्र,Ideal Human Relif Mante Centre,,Hara Rampur,,,,,,,
Kapilvastu,बहु आयामिक सेवा केन्द्र,Multi Farious Service Centre,,Gorusinge-8,,,,,,,
Kapilvastu,समाज सुधारको लागि आन्दोलन तथा आन्तरिक श्रोत केन्द्र,Movement and Internal Resource Centre for Social Improvement,,kopwa-2,,,,,,,
Kapilvastu,ग्रामीण गरिवी निवारण केन्द्र,Rural Poverty Elimination Centre,,Dumra-9,,,,,,,
Kapilvastu,सरल नेपाल,Saral Nepal,,Gotihawa-5,,,,,,,
Kapilvastu,गौतम बुद्ध युवा क्लव,Gautam Buddha Youth Club,,Tilaurakot-4,,,,,,,
Kapilvastu,नेपाल ग्रामीण बिकास केन्द्र,Nepal Rural Development Centre,,"Pipara-6, Chakarchunda",,,,,,,
Kapilvastu,सर्वाङ्गीण विकास केन्द्र,Sarwangin Bikas Kendra,,Sihokor-9,,,,,,,
Kapilvastu,जन कल्याण सामाजिक संस्था,Public Welfare Social Organization,,Dohani-2,,,,,,,
Kapilvastu,जन सेवा सामाजीक केन्द्र,Public Service Social Centre,,"Parsihiya, Aamanonaha-7",,,,,,,
Kapilvastu,शान्ति समाज नेपाल,Shanti Samaj Nepal,,Taulihawa-5,,,,,,,
Kapilvastu,ग्रामीण स्वाबलम्बन विकास केन्द्र,Rural Self Reliant Development  Centre,,Tilaurakot-3,,,,,,,
Kapilvastu,ग्रामीण उत्थान सेवा केन्द्र,Rural Upliftment Service Centre,,Taulihawa,,,,,,,
Kapilvastu,नेपाल सामुदायीक बिकास तथा वातावरण संरक्षण केन्द्र,Nepal Community Development and Environment Protection Centre,,"Kapilvastu-4, Taulihawa",,,,,,,
Kapilvastu,स्वास्थ्य शिक्षा एवंम उत्पीडीत बिकास परिषद,Health Education and Oppressed Development Council,,"Buddhi, Jitpur-4",,,,,,,
Kapilvastu,रोयल क्लब,Royal Club,,Baidauli-2,,,,,,,
Kapilvastu,जन कल्याण सामुदायीक बिकास संस्था,Janakalyan Community Development Association ,,"Barafalpur-9, Dumara",,,,,,,
Kapilvastu,सामाजीक बिकास केन्द्र,Social Development Centre,,"Sauraha-5, Bithuwa",,,,,,,
Kapilvastu,परिवर्तनको लागि कार्यरत सामाजीक संस्था,Acting Social Organization for Change,,Kopawa--9,,,,,,,
Kapilvastu,गाउँ सुधार आमा समुह,Village Improvement Women Group,,Barakalpur-9,,,,,,,
Kapilvastu,दलित उत्थान समाज,Dalit Rise Society Society,,"Niglihawa-4, Premchandarapur",,,,,,,
Kapilvastu,मनकामना ग्रामीण बिकास केन्द्र,Manakamana Rural Development Centre,,"Banganga-6, Nandanagar",,,,,,,
Kapilvastu,जनजागरण महिला समुह,Public Awareness Women Group,,"Motipur-3, Banagain",,,,,,,
Kapilvastu,अपाङ्ग उत्थान समाज,Disable Rice Society,,Gajehanda-2,,,,,,,
Kapilvastu,ग्रामीण स्वावलम्बन सामाजिक केन्द्र,Rural Self Reliant Social Centre,,,,,,,,,
Kapilvastu,कालिका स्वावलम्बन सामाजिक केन्द्र,Kalika Self Reliant Social Centre,,,,,,,,,
Kapilvastu,र्मिमिरे कपिलवस्तु,Mirmire Kapilvastu,,"Banganga, Bairiya",,,,,,,
Kapilvastu,माउण्ट एभरेष्ट सामाजिक संस्था,Mount Everest Social Orgaization,,,,,,,,,
Kapilvastu,महिला हातेमालो संस्था,Mahila Hatemalo Orgnization,,Gajehada-1,,,,,,,
Kapilvastu,निगाली स्वभलम्वन विकास केन्द्र,Nigali Self Reliant Development Centre,,Niglihawa,076-561043,,,,,,
Kapilvastu,हिमालय युवा क्लव ,Himalaya Youth Club,,Barkulapur-7,,,,,,,
Kapilvastu,समाज कल्याण वहुउद्देश्य ,Social Welfare Multipurpose,,Titirkhi-4,,,,,,,
Kapilvastu,सामुदायीक परिवार विकास केन्द्र ,Community Family Development Centre,,Taulihawa-3,,,,,,,
Kapilvastu,ग्रामीण उत्थान केन्द्र ,Rural Progress Centre,,Pakadi-3,,,,,,,
Kapilvastu,शान्ति सृजना युवा नेपाल ,Peace Creation Youth Nepal,,"Motipur-3, Banagain",,,,,,,
Kapilvastu,राजपुर सामुदायीक अध्यान केन्द्र ,Rajpur Community Study Centre,,Rajpur-3,,,,,,,
Kapilvastu,राष्ट्रिय समाज उत्थान केन्द्र ,National Social Upliftment Centre,,Motipur-5,,,,,,,
Kapilvastu,लुम्बिनी कपिल वस्तु बचाउं,Save Lumbini Kapilvastu ,,Tauliya,,,,,,,
Kapilvastu,पतरीया सामुदायीक अध्ययन अभियान केन्द्र,Patariya Community Studies Campaign Centre,,Patriya-7,,,,,,,
Kapilvastu,घर घरमा किताब,Books In Every Home,,Buddhi-5,,,,,,,
Kaski,सामूदायिक विकाश तथा जागरण कार्यक्रम,Community Development and Awareness Program,,New Road-8,,,,,,,
Kaski,सुर्य चन्द्र यूवा क्लव,Surya Chandra Youth Club,,Male Patan-5,,,,,,,
Kaski,रत्ना समाज सेवा क्लव,Ratna Social Service Club,,Bagar-1,,,,,,,
Kaski,फुलवारी युवा क्लव,Phulbari Youth Club,,"Pokhara-11, Phulbari",,,,,,,
Kaski,अम्बिका ममता युवा क्लव,Ambika Mamata Youth Club,,"Sarankot-7, Seti",,,,,,,
Kaski,मानव विकास तथा वातावरण संरक्षण मंच,Forum of Human Development and Environment Protection,,Lekhanatha-8,,,,,,,
Kaski,सामुदायीक कार्यक्रम सहयोग प्रतिष्ठान,Community Program Support Foundation,,Pokhara-9,,,,,,,
Kaski,दुरदर्शी युवा क्लव,Sustainable Youth Club,,Ramghat,,,,,,,
Kaski,नमुना युवा क्लव,Namuna Youth Club,,Begnas-9,,,,,,,
Kaski,नारी सेवा केन्द्र,Women Service Centre,,Pokhara Sub-Metropolitian,061-525906,,,,,Usha Baruwal,"Human Rights, Income generation,awareness program"
Kaski,इन्द्रेणी एकिकृत विकास केन्द्र,Indreni Integrated Development Centre,,Pokhara-1,,,,,,,
Kaski,जनजागरण युवा क्लव,Public Awareness Youth Club,,Thanapani Bhalam-4,,,,,,,
Kaski,आर्दश युवा परिवार,Aadarsha Youth Pariwar,,Lamachaur-1,,,,,,,
Kaski,नवदीप युवा क्लव,Nawa Deep Youth Club,,Dhikur Pokhari,,,,,,,
Kaski,सिद्धार्थ क्लव,Siddhartha Club,,Pokhara-8,,,,,,,
Kaski,वेगनास युवा क्लव,Begnas Youth Club,,Begnastal-9,,,,,,,
Kaski,खानेपानी सरसफाई र ग्रामीण श्रोत विकास केन्द्र,Drinking Water and Rural Resource Development Centre,,Nayagau-15,,,,,,,
Kaski,चण्डिका युवा क्लव,Chandika Youth Club,,Pokhara Sub-Metropolitian-9,,,,,,,
Kaski,समाज कल्याण तथा वातावरणीय संस्था,Social Welfare and Environment Association,,Hanspur-5,,,,,,,
Kaski,मिर्मिरे युवा क्लव,Mirmire Youth Club,,Ramghat,,,,,,,
Kaski,चादनी युवा क्लव,Chandani Youth Club,,Lahachowk,,,,,,,
Kaski,सृजना विकास केन्द्र,Srijana Development Centre,,Simalchaur-8,,,,,,,
Kaski,पर्यावरण सामुदायीक क्लव,Environmental Community Club,,Srijana chowk,,,,,,,
Kaski,सराङ्गकोट सामुदायीक विकास समिति,Sarangkot Community Development Committee,,Sarankot,,,,,,,
Kaski,शिक्षा र विकासको लागी समाज,Society for Education and Development,,Pokhara-17,,,,,,,
Kaski,सामुदायीक टोल सुधार समिति,Community Tole Improvement Committee,,"Pokhara Sub-Metropolitian-1, Simpani",,,,,,,
Kaski,युवा जागृती क्लव,Youth Jagrit Club,,Mahendrapur,,,,,,,
Kaski,टिम अर्गनाइजिङ्ग लोकल इन्स्टिच्युसन (टोली),Team Organizing Local Institution,,"Gharipatan-17, Pokhara",061-462875,,toli@ntc.net.np,,,Srijana Gyawali,"child protection, education,social mobilozation"
Kaski,छोरे पाटन टोल सुधार समिती,Chhore Patan Tole Improvement Committee,,"Pokhara-17, Chhorepatan",,,,,,,
Kaski,सुर्योदय युवा क्लव,Suryodaya Youth Club,,"Nadipur, Pokhara",,,,,,,
Kaski,माछापुच्छ्रे समाज सेवा संघ,Machhapuchhare Social Service Organization,,Simpani-1,,,,,,,
Kaski,ध्रुबतारा युवा क्लब,Dhurbatara Youth Club,,Rupakot,,,,,,,
Kaski,एकता सामुदायिक विकास संस्था,Unity Community Development Organization,,Lekhanatha-8,,,,,,,
Kaski,सृजनशील सामुदायिक बिकास संस्था,Innovative Community Development Organization,,Pokhara-4,,,,,,,
Kaski,जनचेतना विकास केन्द्र,Public Awareness Development Centre,,Rambazar-10,,,,,,,
Kaski,चेतनशील महिला समुह,Concious Women Group,,Lekhanatha-8,,,,,,,
Kaski,सामुदायिक बिकास प्रतिष्ठान,Community Development Foundation,,Pokhara-9,,,,,,,
Kaski,जैवीक विविधता अनुसन्धान तथा बिकासका लागि स्थानिय पहल (लि–बर्ड),Local Initiation for Versatile Research and Development,,Mahendrapur-4,,,,,,,
Kaski,माछापुच्छ्रे यूवा क्लब,Machhapurchare Youth Club,,Ratnachowk-7,,,,,,,
Kaski,महिला तथा सामाजिक सचेतना समाज,Women and Social Awareness Society,,Prithibichowk-8,,,,,,,
Kaski,भद्रकाली सामुदायिक बिकास संंस्था,Bhadrakali Community Development Organization,,Lekhanatha-2,,,,,,,
Kaski,सगरमाथा सामुदायिक बिकास केन्द्र,Sagarmatha Community Development Centre,,Lekhanatha-1,,,,,,,
Kaski,महिला जनजाती तथा वातावरण संरक्षण केन्द्र,Women Indegenious and Environment Conservation Centre,,Bhalam-1,,,,,,,
Kaski,सडक दुर्घटना पीडित सरोकार समाज,Road Accident Vicim Concerned Society,,Ratnachowk-8,,,,,,,
Kaski,हक नेपाल,Hak Nepal,,Pokhara-2,,,,,,,
Kaski,बहुद्धेश्यिय सामाजीक बिकास संस्था,Multipurpose Social Development Orgnization,,Hemja-6,,,,,,,
Kaski,बाल तथा महिला सशक्तिकरण समाज नेपाल,Child and Women Empowerment Society Nepal,,Ganesh tol-4,,,,,,,
Kaski,नेपाल कलेफ्ट एण्ड प्यालेट एशोशिएसन,Nepal Cleft and Palet Association ,,Ramghat-10,,,,,,,
Kaski,सृजनशील यूवा क्लब,Innovative Youth Club,,Pumdibhumdi-1,,,,,,,
Kaski,आकाश युवा क्लब,Aakash Youth Club,,Thumki,,,,,,,
Kaski,माझठाना यूवा क्लब,Majhathana Youth Club,,Majhathana-9,,,,,,,
Kaski,शिक्षा बिकास केन्द्र,Centre For Education Development ,,Pokhara-8,,,,,,,
Kaski,सप्तरंगी युवा क्लब,Saptarangi Youth Club,,Rupakot-1,,,,,,,
Kaski,महिला सशक्तिकरण समूह,Empowering The Women Of Nepal,,Pokhara-6,,,,,,,
Kaski,असल छिमेकी सहयोग संघ,Good Neighbour Service Association,,"Pokhara-8, Nayabazar",061-526460,,gonesapkr@gmail.com,,,Dil Bd Gurung,"child protection, education, social mobilozation"
Kaski,उत्पीडित समाज जन चेतना समिति,Oppressed Society Public Awareness Committee,,Phulbari-11,,,,,,,
Kaski,"नागरिक, बाल शिक्षा तथा पर्यावरण संस्था",Civil Child Education and Environment Orgainzationn,,"Lekside, Bidam-6",,,,,,,
Kaski,उत्पीडित समाज सरोकार केन्द्र,Oppressed Society Concern Centre,,"Pokhara-8,Sirjanachowk",,,,,,,
Kaski,सहभागीतात्मक विकास केन्द्र,Participatory Development Centre,,"Kolbari Marga, Masbar-7",,,,,,,
Kaski,महिला उत्थान तथा जागरण केन्द्र,Women Welfare and Awareness Centre,,"Pokhara-8, Savagriha Chowk",,,,,,,
Kaski,स्वरुप नेपाल,Swarup Nepal,,"Lekhanatha -7, Talchowk",560013,,,,,,
Kaski,सीप हस्तान्तरणद्धारा सशक्तिकरण,Nucleus For Empowement through Skill Transfer,,New Road-8,061-520492,,nestpkr@wlink.com.np,,,,
Kaski,समग्र अनुसन्धान तथा विकास संगठन,Total Research and Development Organization,,Manohar Chowk,061-526295,,,,,,
Kaski,"मानव विकास मञ्च, कास्की",Human Development Forum,,MahatGauda-17,521168,,srbhandari2021@yahoo.com.np,,,,
Kaski,र्जोज जोन शिक्षा प्रतिष्ठान,Jorja Jon Education Foundation,,Bagar-1,9856023022,,,,,,
Kaski,नौलो घुम्ती नेपाल,Naulo Ghumti Nepal,,New Road-8,061-539675,,naulo_ghumti@wlink.com.np,,,,
Kaski,अंग्रेजी नेपाली प्रौढ साक्षरता अभियान,English Nepali Adult Literacy Campaign,,Ramghat-10,541155,,,,,,
Kaski,माछापुच्छ«े विकास संघ,Machhapuchhare Development Organization,,"Bhadoure Tamagi-3, Kaski",061-527584,,mdo@fewanet.com.np,,,Dil Bd Bhattarai,"livelihood, empowerment"
Kaski,हरियाली दिगो विकास केन्द्र,Hariyali Sustainable Development Centre,,Lumle-5,061-529341,,,,,,
Kaski,पुम्दी भुम्दि नागरिक समाज,Pumdibhumdi Civil Society,,Pumdibhumdi-4,,,,,,,
Kaski,जनहित युवा क्लव,Public Welfare Youth Club,,"Kaskikot, Maula-2",,,nepalihome@hotmail.com,,,,
Kaski,पशु स्वास्थ्य तालिम तथा परामर्श सेवा,Animal Health Training and Counselling Service,,New Road,061-535807,,,,,,
Kaski,मर्दिखोला नेपाल शैक्षिक प्रतिष्ठान,Mardikhola Nepal Educational Foundation,,Masbar-7,9856025003,,,,,,
Kaski,चेतना समूह,Chetana Group,,Sabhagriha Chowk,061-524811,,,,,,
Kaski,सयपत्री यूवा क्लव,Sayapatri Youth Club,,Sardikhola-9,531944,,,,,,
Kaski,आवास तथा सामुदायिक विकास केन्द्र,Housing and Community Development Centre,,Amarsingh chowk-10,061-534484,,,,,,
Kaski,"बहुउद्देसीय सामुदायिक विकास तथा सचेतना मञ्च, नेपाल",Multipurpose Community  Development and Conscious Forum,,Pokhara-1,,,,,,,
Kaski,प्राकृतिक तथा सामाजिक सुधार समाज नेपाल,Natural and Social Improvement Society,,Pokhara-17,521254,,,,,,
Kaski,आशा फाउण्डेशन ,Asha Foundation,,"Pokhara-1, Simpani",551812,,,,,,
Kaski,वातावरण वाल तथा महिला विकास केन्द्र,"Environment, Children and Women Development Centre",,Pokhara-12,530015,,,,,,
Kaski,नेपाल विकास अध्ययन संस्थान (निड्स),Nepal Development Studies Organization ,,Pardi Birauta,01-4421511/061-533278,,,,,,
Kaski,समुदायमा आधारित पुनस्थापना सेवा ,Community Based Rehabilitation Service,,"Pokhara-9, Naya Bazar",061-537326,,,,,,
Kaski,मानव सहारा सेवा केन्द्र,Human Welfare Service Centre,,Salan-6,540061,,,,,,
Kaski,नारी सेवा समिति ,Women Service Committee,,,061-524590,,,,,,
Kaski,श्रमिक बालबालिकाहरुको सामाजिक एकीकरण मञ्च (चिल्ड्रेन–नेपाल),Social Integrated Forum for Working Children,,Pokhara-7,061-532054,,,,,,
Kaski,कोपिला बाल गृह ,Kopila Children Home,,Pokhara-1,530110,,drajbhan@yahoo.com,,,,
Kaski,बुद्ध प्रतिष्ठान ,Buddha Foundation,,Pokhara-3,540260,,,,,,
Kaski,महिला सामुदायिक विकास संस्था ,Women Community Development Organization,,Lekhanatha-3,061-560575,,,,,,
Kaski,इन्टरनेशनल नेपाल फेलोशिप ,International Nepal Fallowship,,Pokhara-1,061-520111,,,,,,
Kaski,मानव समाज सेवा नेपाल,Human Social Service Nepal,,Pokhara-6,061-536273,,humansocietyservice@yahoo.com,,,,
Kaski,कास्की नेत्रहिन संघ ,Kaski Blind Organization,,Pokhara-8,061-532483,,laumansubedy@yahoo.com,,,,
Kaski,एड्स रोग नियन्त्रण संघ               ,AIDS Control ,,Pokhara-1,520137,,,,,,
Kaski,ढिकुरपोखरी सामुदायिक विकास संघ                ,Dhikur Pokhari Community Development Orgaization,,Dhikur Pokhari-4,,,,,,,
Kaski,नव आदर्श युवा क्लब    ,Nawa Aadarsha Youth Club,,Pokhara-16,061-693065,,nac.pk@gmail.com,,,,
Kaski,असल छिमेकी नेपाल  ,Asal Chhimeki Nepal,,"Simpani, Pokhara-15",061-522515,,info@acn.org.np,,,Dipendra Kumar Gautam,"health, awareness, "
Kaski,विकास नेपाल                  ,Bikash Nepal,,"Pokhara-15, ",061-430562,,info@bikashnepal.org.np,,,Ganesh Pakhrin,health 
Kaski,आमा मिलन केन्द्र ,Aama Milan Kendra,,"Nagdhunga-8, Pokhara",061-522602/061-526580,,amk.kaski@hotmail.com,,,Indira Poudel,"livelihood, empowerment"
Kaski,कोपिला नेपाल ,Kopila Nepal,,Hemja-2 Kaski,061-463486,,kopila2057@ntc.net.np,,,Mukti Ram Sharma,"economic, social, political, education "
Kaski,पर्वतीय समुदायमा आधारित कार्य नेपाल ,Working Nepal Based on Mountain Community,,Pokhara-5,061-524283,,baral_iks@yahoo.com,,,,
Kaski,सामुदायिक विकास तथा अनुसन्धान केन्द्र नेपाल ,Community Development and Research Centre,,Pokhara-7,061-60697,,,,,,
Kaski,अल्टरनेटिभ्स पोखरा ,Alternatives Pokhara,,Pokhara-8,9856028540,,samundra@alternativesnepal.org.np,,,,
Kaski,सामाजिक समुत्थान संस्था  ,Social Promotive Organization,,Pokhara-9,061-541720,,,,,Durga Pd Timilsina,livelihood
Kaski,"श्री दिदी बहिनी बचाउ, कास्की ",Shree Didi Bahini Bachau Kaski,,Pokhara-6,061-464470,,sobahini@gmail.com,,,,
Kaski,बालहितकारी परियोजना नेपाल ,Child Welfare Project Nepal,,Pokhara-15,061-432087,,,,,,
Kaski,जीविकोपार्जन शिक्षा तथा विकास समाज ,Livelihoods Education and Development Society,,"Pokhara-3, Nadipur",061-530943,,leads@leadsnepal.org,,,Janak lal Shrestha,Disable people
,,,,,,,,,,,
Kaski,मानवीय स्रोत विकास केन्द्र नेपाल ,Manabiya Shrot Bikas Kendra Nepal,,Pokhara-9,061-534300,,msbkpokhara@gmail.com,,,Biswokalayn Parajuli,
Kaski,सामाजिक शैक्षिक तथा वातावरणीय विकास प्रतिष्ठान नेपाल,Social Educational And Environmental Development Foundation Nepal,,Lekhanath-11,061-622098,,seedfoundation@gmail.com,,,Damodar Bhakta Thapa,
Kaski,सामुदायिक सशक्तिकरण नेपाल,Community Empowerment Campaign Nepal,,Lekhanath-12,061-526785,,kalyan_chap@yahoo.com,,,Sherbahadur Gurung,
Kaski,बाजीपोखरी एकीकृत सहयोगका लागि ग्रामीण विकास नेपाल,Bajipokhari Inteqreted Co-Oppration For Ruller Development Nepal,,Pokhara-7,061-621056,,birdnpk@yahoo.com,,,Khemraj Bhandari,
Kaski,नेपाल हाउस,Nepal House,,Sarangkot-2,061-229424,,nepalhouse66kaski@hotmail.com,,,Ranbahadur Thapa,
Kaski,सेभ आवर हिमालयन फष्ट नेपाल,Save Our Himalaya First Nepal,,Pokhara-1,9846028021,,nepalideel@yahoo.com,,,Dilbahadur Nepali,
Kaski,सचेत नेपाल,Aware Nepal,,Pokhara-4,061-538651,,,,,Kesh Kumari Bhujel,
Kaski,हिमालय भोलुन्टियर सोसाइटी ,Himalayan Volunteer Society,,Pokhara-2,061-524087,,himalayanvolunteersociety@gmail.com,,,Deepak Raj Subedi,
Kaski,लेखा शाखा प्राध्यापक समाज ,Accountancy Teachers' Society Nepal,,Pokhara-1,061-532026,,rakhald@hotmail.com,,,Amritlal Shestha,
Lamjung,समाज सेवा संघ,Social Service Organization,,Sundar Bazar-5 Lamjung,,,,,,,
Lamjung,ज्ञान ज्योती समाज उत्थान संघ,Gyan Jyoti Social Upliftment Organization,,Chhahari Pani Dura Danda,,,,,,,
Lamjung,स्वावलम्बी समाज केन्द्र,Self Reliant Social Centre,,Lamjung Besi Shahar,,,,,,,
Lamjung,दूध पोखरी प्रतिभा परिवार,Dudha Pokhari Prativa Pariwar,,Bhote Odar,,,,,,,
Lamjung,जन चेतना अभिबृद्धि र बिकास अध्ययन समिती,Committee For The Promotion Of Public Awareness And Development Studies,,Alkatar,,,,,,,
Lamjung,श्रृजनशील युवा क्लब,Creative Youth Club,,Chiti Syautin-2,,,,,,,
Lamjung,सनातन धर्म सेवा संघ,Sanatan Dharma Sewa Sangh,,Gurukul Asram Dura Danda,,,,,,,
Lamjung,समाज सेवा केन्द्र,Social Service Centre,,Taku Thakle,,,,,,,
Lamjung,शान्तिमाया नारी सेवा केन्द्र,Shantimaya Nari Sewa Kendra,,Besi Shahar-1,,,,,,,
Lamjung,महिला जागरण संस्था,Women Awareness Organization,,Dura Danda,,,,,,,
