Year,District,Region,Sector,NGOs Name
2056,Kathmandu,"Central
Region","Community and Rural
Development",Durga Katej Udhyan Sanstha
2039,Kathmandu,"Central
Region","Community and Rural
Development",Durga Pariwar Club
2061,Dhanusha,"Central
Region","Community and Rural
Development",Durga Puja Byawasthapan Samiti
2061,Kaski,"Western
Region","Community and Rural
Development",Durga Tol Ama Samaj
2052,Nawalparasi,"Western
Region","Community and Rural
Development",Durgam Chetra Sahayog Sangthan
,Dolpa,"Mid Western
Region","Community and Rural
Development","Durgam Chetra Samudaik Bikas
KaryakramAM"
2056,Bajura,"Far Western
Region","Community and Rural
Development",Durgam Chhetra  Wikas
2064,Bajura,"Far Western
Region","Community and Rural
Development",Durgam Chhetra Bikas Abhiyan
2065,Jajarkot,"Mid Western
Region","Community and Rural
Development",Durgam Chhetra Bikas Kendra
2063,Humla,"Mid Western
Region","Community and Rural
Development",Durgam Chhetra Bikas Pratisthan
2064,Bajura,"Far Western
Region","Community and Rural
Development",Durgam Chhetra Bikas Samaj
2064,Pyuthan,"Mid Western
Region","Community and Rural
Development",Durgam Chhetra Bikas Samaj
2063,Bajhang,"Far Western
Region","Community and Rural
Development","Durgam Chhetra Bikas tatha
Anusandhan Kendra"
2063,Bajhang,"Far Western
Region","Community and Rural
Development",Durgam Chhetra Dalit Bikas Samiti
2051,Kathmandu,"Central
Region","Community and Rural
Development","DURGAM CHHETRA GRAMIN
BIKAS SAMITI"
2056,Kathmandu,"Central
Region","Community and Rural
Development","Durgam Chhetra Utthan Kendra
Nepal"
2064,Rolpa,"Mid Western
Region","Community and Rural
Development",Durgam Ekikrit Bikas Nepal
2063,Rolpa,"Mid Western
Region","Community and Rural
Development",Durgam Ganu Bikas Samaj Nepal
,Bajhang,"Far Western
Region","Community and Rural
Development","Durgam Gramin Bikas Sambrdhan
Kendra"
2050,Kathmandu,"Central
Region","Community and Rural
Development","Durgam Krishi Bikas Tatha Udhog
Ayojana"
2054,Kathmandu,"Central
Region","Community and Rural
Development","Durgam Kshyetra Ambulens Sewa
Sahayog Sangh"
2054,Humla,"Mid Western
Region","Community and Rural
Development","Durgam Kshyetra Anusandhan
Tatha Wikas Parishad"
2059,Jajarkot,"Mid Western
Region","Community and Rural
Development",Durgam Kshyetra Bikas Kendra
,Mugu,"Mid Western
Region","Community and Rural
Development","Durgam Kshyetra Jal Upabhoktta
Samiti"
2056,Bajhang,"Far Western
Region","Community and Rural
Development","Durgam Kshyetra Janajati Bikas
Samiti"
2053,Dailekh,"Mid Western
Region","Community and Rural
Development","Durgam Kshyetra Kalyana Sangh
Tolijaisi"
2053,Darchula,"Far Western
Region","Community and Rural
Development","Durgam Kshyetra Samaj Bikas
Sangh(Kharej Bhayako)"
2053,Kathmandu,"Central
Region","Community and Rural
Development",Durgam Kshyetra Wikas Nepal
2064,Rasuwa,"Central
Region","Community and Rural
Development",Durgam Nepal
2053,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Durgam Pahadi Bikas Pariyojana
2052,Rolpa,"Mid Western
Region","Community and Rural
Development",Durgam Samaj Bikas Sanstha
2056,Kathmandu,"Central
Region","Community and Rural
Development",Durgam Samaj Bikash Kendra
2052,Dolakha,"Central
Region","Community and Rural
Development",Durgam Samudaya Bikas Kendra
2059,Makwanpur,"Central
Region","Community and Rural
Development",Durgam Sewa Samaj
2062,Kathmandu,"Central
Region","Community and Rural
Development",Durgam Sewa Samaj
2066,Mugu,"Mid Western
Region","Community and Rural
Development",Durgam Vasti Bikas Kendra
2054,Dhading,"Central
Region","Community and Rural
Development",Durghatna Pidit Udhhar Sangh
,Kathmandu,"Central
Region","Community and Rural
Development",Durghatna Rahat Sewa Kendra
,Kathmandu,"Central
Region","Community and Rural
Development",Durlabha Utthan Samaj
2065,Kavre,"Central
Region","Community and Rural
Development","Durlung Khola Gwa Bhanjyang
Narayansthan Paryatak Sadak
Upabhokta Samiti"
2053,Dhanusha,"Central
Region","Community and Rural
Development",Durwasa Janakalyana Samiti
2057,Bhaktapur,"Central
Region","Community and Rural
Development",Duwakot Creative Society
2059,Kathmandu,"Central
Region","Community and Rural
Development","Duwasu Kshyetri Rastriya Bikas
Pratishathan"
2042,Dolakha,"Central
Region","Community and Rural
Development",Dwalkha GuthiI
2064,Sunsari,"Eastern
Region","Community and Rural
Development","Dwondapidit Adhikar Samrakchhan
Manch"
2065,Dhankutta,"Eastern
Region","Community and Rural
Development",Dynamic Pratisthan Nepal
2055,Kathmandu,"Central
Region","Community and Rural
Development",Earth Watch
2064,Banke,"Mid Western
Region","Community and Rural
Development",East West Samaj Sewa Nepal
2065,Kathmandu,"Central
Region","Community and Rural
Development",Ecaf Nepal
2056,Kapilbastu,"Western
Region","Community and Rural
Development",Eco Nepal
2064,Kathmandu,"Central
Region","Community and Rural
Development",Ecological Association Of Nepal
,Banke,"Mid Western
Region","Community and Rural
Development",Edara Khidmat Khidmat-A-Khalka
2062,Darchula,"Far Western
Region","Community and Rural
Development",Ediwag Janasewa Kalw
2053,Panchathar,"Eastern
Region","Community and Rural
Development","Edko Jilla Bikas Samanwaya
Samiti Nepal"
2056,Kathmandu,"Central
Region","Community and Rural
Development",Eduvison 2000 Plas
2065,Kathmandu,"Central
Region","Community and Rural
Development",Effort Unesko Club
2063,Kavre,"Central
Region","Community and Rural
Development",Ek Apas Nepal
2057,Bara,"Central
Region","Community and Rural
Development","Ek Badhh Gramina Swawalamban
Bikas Abhiyan Kendra Nepal"
2064,Kathmandu,"Central
Region","Community and Rural
Development",Ek Bishwo Ek Pariwar
2055,Chitawan,"Central
Region","Community and Rural
Development","Ek Raj Smriti Samudayik Bikas
Pratishathan"
2065,Kathmandu,"Central
Region","Community and Rural
Development",Ekaltar Tol Sudhar Samiti
2054,Kathmandu,"Central
Region","Community and Rural
Development",Ekata
2064,Rautahat,"Central
Region","Community and Rural
Development",Ekata Bikas Kendra Nepal
2059,Gorkha,"Western
Region","Community and Rural
Development",Ekata Bikas Samaj
2065,Sindhuli,"Central
Region","Community and Rural
Development",Ekata Bikas Samaj
2052,Bajhang,"Far Western
Region","Community and Rural
Development",Ekata Club
2056,Jhapa,"Eastern
Region","Community and Rural
Development",Ekata Club
2053,Baitadi,"Far Western
Region","Community and Rural
Development",Ekata Club Patan 9a
2059,Kavre,"Central
Region","Community and Rural
Development",Ekata Jan Bikas Samuh
2056,Rupandehi,"Western
Region","Community and Rural
Development",Ekata Kendra
2060,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Nepal
2065,Chitawan,"Central
Region","Community and Rural
Development",Ekata Nepal
2066,Kailali,"Far Western
Region","Community and Rural
Development",Ekata Nepal
2054,Kathmandu,"Central
Region","Community and Rural
Development","Ekata Ra Bikasko Lagi
Antarasharaya Sahabhagita"
2059,Kailali,"Far Western
Region","Community and Rural
Development",Ekata Samaj
2065,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Samaj Nepal
2065,Lalitpur,"Central
Region","Community and Rural
Development",Ekata Samaj Nepal
2059,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Samaj Sudhar Sanstha
2063,Banke,"Mid Western
Region","Community and Rural
Development",Ekata Samaj Sudhar Sanstha
2057,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Samajik Abhiyan
2062,Nawalparasi,"Western
Region","Community and Rural
Development",Ekata Samanwaya Samiti
2062,Kaski,"Western
Region","Community and Rural
Development",Ekata Samudayik Bikas Sanstha
2054,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Samuh Nepal
2065,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Samuha
2062,Kaski,"Western
Region","Community and Rural
Development",Ekata Sanrakshyana Sasntha
2060,Kathmandu,"Central
Region","Community and Rural
Development",Ekata Sewa Samiti Pariwar
2053,Siraha,"Eastern
Region","Community and Rural
Development",Ekata Sewa Samuh
2058,Kavre,"Central
Region","Community and Rural
Development","Ekata Shikshya Swasthya Tatha
Batabarana Bikas Samaj"
2053,Darchula,"Far Western
Region","Community and Rural
Development",Ekata Wikas Karyakram
2059,Kathmandu,"Central
Region","Community and Rural
Development",Ekatako Adhar Nepal
2060,Kathmandu,"Central
Region","Community and Rural
Development","Ekatako Pratik Pratima Nimana
Samiti"
2063,Kathmandu,"Central
Region","Community and Rural
Development",Ekhima Pratishthan
2055,Kavre,"Central
Region","Community and Rural
Development","Ekikrit Antarasharaya Wikas Sewa
Sangh (Mids )"
2063,Achham,"Far Western
Region","Community and Rural
Development","Ekikrit Anusandhan Tatha Bidkas
Kendra Nepal"
2062,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Anusandhan Tatha Bikas
Kendra"
2062,Jajarkot,"Mid Western
Region","Community and Rural
Development","Ekikrit Anusandhan Tatha Bikas
Kendra"
2063,Jhapa,"Eastern
Region","Community and Rural
Development",Ekikrit Apang Prerana Samuh
2054,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Baikalpik Bikas Prayas
2057,Bajhang,"Far Western
Region","Community and Rural
Development",Ekikrit Batabarana Sudhar Samiti
2059,Makwanpur,"Central
Region","Community and Rural
Development","Ekikrit Batabaraniy Kanuni Tatha
Computar Chetana Kendra"
2062,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bigyan Tatha Prawidhi
Manch Nepal"
2061,Bardiya,"Mid Western
Region","Community and Rural
Development","Ekikrit Bikako Lagi Samajik
Abhiyan"
2050,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Bikas Anusandhan Kendra
,Achham,"Far Western
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2054,Bhaktapur,"Central
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2056,Palpa,"Western
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2058,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2059,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2063,Rukum,"Mid Western
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2064,Jajarkot,"Mid Western
Region","Community and Rural
Development",Ekikrit Bikas Kendra
2058,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Kendra Nepal
2061,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Kendra Nepal
2064,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Kendra Nepal
2063,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Bikas Manch
2061,Gorkha,"Western
Region","Community and Rural
Development",Ekikrit Bikas Manch Nepal
2062,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Nepal
,Kanchanpur,"Far Western
Region","Community and Rural
Development",Ekikrit Bikas Nepal
2058,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Parishad
2064,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Bikas Pariyojna
2065,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Pratisthan Nepal
2065,Nuwakot,"Central
Region","Community and Rural
Development",Ekikrit Bikas Prayas Nepal
2051,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Samaj
2055,Okhaldhunga,"Eastern
Region","Community and Rural
Development",Ekikrit Bikas Samaj
2057,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Samaj
2058,Rautahat,"Central
Region","Community and Rural
Development",Ekikrit Bikas Samaj
2061,Dadeldhura,"Far Western
Region","Community and Rural
Development",Ekikrit Bikas Samaj
2064,Nuwakot,"Central
Region","Community and Rural
Development",Ekikrit Bikas Samaj
2054,Kavre,"Central
Region","Community and Rural
Development",Ekikrit Bikas Samaj Nepal
2059,Kaski,"Western
Region","Community and Rural
Development",Ekikrit Bikas Samaj Nepal
2063,Sarlahi,"Central
Region","Community and Rural
Development",Ekikrit Bikas Samaj Nepal
2063,Pyuthan,"Mid Western
Region","Community and Rural
Development",Ekikrit Bikas Sangh
2052,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Sanstha
,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Bikas Sewa Kendra
2061,Dolakha,"Central
Region","Community and Rural
Development",Ekikrit Bikas Sewa Samiti
2052,Tanahu,"Western
Region","Community and Rural
Development",Ekikrit Bikas Sewa Sangh
2053,Kailali,"Far Western
Region","Community and Rural
Development","Ekikrit Bikas Tatha Anusandhan
Kendra"
2060,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bikas Tatha Anusandhan
Kendra"
2056,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bikas Tatha Anusandhan
Kendra Nepal (Sidarn)"
2064,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bikas Tatha Anusandhan
Sanstha"
2050,Kaski,"Western
Region","Community and Rural
Development","Ekikrit Bikas Tatha Batabaran
Sangh"
2061,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bikas Tatha Gramin
Sashakttikarana"
2065,Kalikot,"Mid Western
Region","Community and Rural
Development","Ekikrit Bikas Tatha Jagaran Kendra
Nepal"
2057,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bikas Tatha Punarutthan
Sangh"
2055,Sunsari,"Eastern
Region","Community and Rural
Development","Ekikrit Bikas Tatha Samaj Kalyana
Kendra"
2063,Banke,"Mid Western
Region","Community and Rural
Development","Ekikrit Bikasaka Lagi Samajik
Abhiyan"
2061,Kavre,"Central
Region","Community and Rural
Development","Ekikrit Bikasako Lagi Gramina
Samaj Nepal"
2063,Kanchanpur,"Far Western
Region","Community and Rural
Development","Ekikrit Bikasako Lagi Rastriya
Sahakarya Nepal"
,Bardiya,"Mid Western
Region","Community and Rural
Development","Ekikrit Bikasako Lagi Samajik
Abhiyan"
2064,Lalitpur,"Central
Region","Community and Rural
Development","Ekikrit Bikaska lagi Godawari Shrot
Samaj Nepal"
2065,Jumla,"Mid Western
Region","Community and Rural
Development",Ekikrit Bikaska Lagi Jagaran Nepal
2064,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Bikaska Lagi Sahakarya
Nepal"
2065,Dolakha,"Central
Region","Community and Rural
Development","Ekikrit Bikaska Lagi Sahayogi
Haatharu"
2065,Bajura,"Far Western
Region","Community and Rural
Development","Ekikrit Dalit Samudayik Bikas
Sanstha"
2059,Rautahat,"Central
Region","Community and Rural
Development",Ekikrit Digo Bikas Nepal
2064,Sarlahi,"Central
Region","Community and Rural
Development",Ekikrit Digo Bikas Nepal
2060,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Digo Gramina Bikas Kendra
,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gaon Bikas Samaj
2056,Dhanusha,"Central
Region","Community and Rural
Development",Ekikrit Graim Bikas Samaj
2056,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Gramin  Janachetan Abm
Bikas Kendra 2056"
2058,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas
2064,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Gramin Bikas Karyakram
Nepal"
2050,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra
2058,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra
2059,Lamjung,"Western
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra
2064,Nawalparasi,"Western
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra IRAC
2059,Rautahat,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra Nepal
2059,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra Nepal
2064,Siraha,"Eastern
Region","Community and Rural
Development",Ekikrit Gramin Bikas Kendra Nepal
2051,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Manch
2061,Mahottari,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Pariyojana
2060,Chitawan,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Pranali
2051,Sindhuli,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2055,Chitawan,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2058,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2061,Udayapur,"Eastern
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2062,Gulmi,"Western
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2064,Jumla,"Mid Western
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2064,Pyuthan,"Mid Western
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj
2061,Bajhang,"Far Western
Region","Community and Rural
Development","Ekikrit Gramin Bikas Samaj
Chainapur"
2051,Mahottari,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Samaj-Nepal
2060,Kailali,"Far Western
Region","Community and Rural
Development",Ekikrit Gramin Bikas Sanstha
2057,Makwanpur,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Sewa
2051,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramin Bikas Sewa Kendra
2050,Lalitpur,"Central
Region","Community and Rural
Development","Ekikrit Gramin Bikas Tatha
Batabaran Samrachan Manch"
2065,Mahottari,"Central
Region","Community and Rural
Development","Ekikrit Gramin Bikas Tatha
Prakritik Shrot Byabasthapan
Karyakram"
2065,Saptari,"Eastern
Region","Community and Rural
Development","Ekikrit Gramin Bikas Tatha Punar
Samrachana Abhiyan"
2063,Bajura,"Far Western
Region","Community and Rural
Development","Ekikrit Gramin Bikas Tatha
Sachetana Kendra Nepal"
2061,Lalitpur,"Central
Region","Community and Rural
Development","Ekikrit Gramin Bikasaka Lagi Jan
Kriyashilata Nepal"
2057,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Gramin Bikasako Nimti Aghi
Paila Chalou Kathmandu"
2063,Siraha,"Eastern
Region","Community and Rural
Development","Ekikrit Gramin Chetana Tatha
Bikas Sanstha"
2047,Tanahu,"Western
Region","Community and Rural
Development","Ekikrit Gramin Samudayik Bikas
Kendra"
2047,Lalitpur,"Central
Region","Community and Rural
Development","Ekikrit Gramin Samudayik Bikas
Kendra"
2061,Siraha,"Eastern
Region","Community and Rural
Development","Ekikrit Gramin Samudayik Bikas
Kendra Nepal"
2055,Kailali,"Far Western
Region","Community and Rural
Development","Ekikrit Gramin Swawalamwan
Samaj"
2060,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Gramina Bikas
2053,Dhading,"Central
Region","Community and Rural
Development",Ekikrit Gramina Bikas Kendra
2054,Dhanusha,"Central
Region","Community and Rural
Development",Ekikrit Gramina Bikas Kendra
2061,Chitawan,"Central
Region","Community and Rural
Development",Ekikrit Gramina Bikas Kendra
2053,Nawalparasi,"Western
Region","Community and Rural
Development","Ekikrit Gramina Bikas Kendra
Nepal"
2056,Sindhuli,"Central
Region","Community and Rural
Development","Ekikrit Gramina Bikas Parishad
Sindhuli"
2061,"Sindhupalcho
k","Central
Region","Community and Rural
Development",Ekikrit Gramina Bikas Samaj
2055,Kavre,"Central
Region","Community and Rural
Development",Ekikrit Gramina Bikas Samuh
2054,Morang,"Eastern
Region","Community and Rural
Development",Ekikrit Gramina Bikas Sanstha
2060,Mugu,"Mid Western
Region","Community and Rural
Development","Ekikrit Gramina Bikas Tatha
Sachetana Manch"
2056,Kapilbastu,"Western
Region","Community and Rural
Development","Ekikrit Gramina Bikash  Sewa
Kendra"
2060,Sarlahi,"Central
Region","Community and Rural
Development","Ekikrit Gramina Janachetana
Abhiyan Nepal"
2053,Nawalparasi,"Western
Region","Community and Rural
Development",Ekikrit Gramina Wikas Kosha
2053,Ramechhap,"Central
Region","Community and Rural
Development",Ekikrit Gramina Wikas Manch
2053,Gorkha,"Western
Region","Community and Rural
Development",Ekikrit Gramina Wikas Samaj
2056,Dhanusha,"Central
Region","Community and Rural
Development","Ekikrit Gramina Wikash Samaj
Nepal"
2065,Sindhuli,"Central
Region","Community and Rural
Development",Ekikrit Haatharu
2050,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Hatemalo Gramin Bikas
Sangh"
2061,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Hatemalo Samaj Nepal
2057,Parsa,"Central
Region","Community and Rural
Development",Ekikrit Ilaka Sudhar Club
2065,Morang,"Eastern
Region","Community and Rural
Development",Ekikrit Jagriti Manch
2064,Dang,"Mid Western
Region","Community and Rural
Development","Ekikrit Jalashrot Byabasthapan
Kendra Nepal"
2053,Banke,"Mid Western
Region","Community and Rural
Development",Ekikrit Jan Chetana Manch
2057,Saptari,"Eastern
Region","Community and Rural
Development","Ekikrit Krishi Bikas Karyakram
Nepal"
2066,Kailali,"Far Western
Region","Community and Rural
Development",Ekikrit Krishi Bikas Samaj Nepal
2054,Lamjung,"Western
Region","Community and Rural
Development","Ekikrit Krishi Bikasako Lagi Gramin
Sasntha"
2050,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Krishi Tatha Sahakari
Pranali Kemdra"
2059,Chitawan,"Central
Region","Community and Rural
Development","Ekikrit Mahila Tatha Balabalika
Bikas Kendra"
2065,Rautahat,"Central
Region","Community and Rural
Development",Ekikrit Manab Bikas Karyakram
2061,Sindhuli,"Central
Region","Community and Rural
Development",Ekikrit Manaw Kalyana Abhiyan
2061,Mahottari,"Central
Region","Community and Rural
Development","Ekikrit Mansya Anusandhan Tatha
Samajik Bikas Kendra"
2064,Tanahu,"Western
Region","Community and Rural
Development","Ekikrit Manviya Jivanstar Bikas
Sewa"
2066,Gorkha,"Western
Region","Community and Rural
Development",Ekikrit Nepal
2066,Kalikot,"Mid Western
Region","Community and Rural
Development",Ekikrit Nepal Dalit Uthhan Samaj
2062,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Nepali Gyan Tatha
Manawiya Bichar"
2065,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Paribartan Samaj
2065,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Punarsthapana Tatha
Sashaktikaran Samaj"
2063,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Rashatraya Wikas Ew
Anusandhan Kendra Nepal"
2063,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Rastriya Wikas Manch
Nepal"
2063,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Sachet Samaj Nepal
2064,Mahottari,"Central
Region","Community and Rural
Development",Ekikrit Samaj Bikas Kendra
2062,Kailali,"Far Western
Region","Community and Rural
Development",Ekikrit Samaj Bikas Kendra Nepal
2061,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Samaj Bikas Nepal
2059,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Samaj Bikas Sangh Nepal
2065,Doti,"Far Western
Region","Community and Rural
Development",Ekikrit Samaj Kalyamn Sangh
2053,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samaj Nepal
2064,Bara,"Central
Region","Community and Rural
Development","Ekikrit Samaj Samrakchhan
Kendra"
2060,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samaj Sewa Nepal
2058,Banke,"Mid Western
Region","Community and Rural
Development",Ekikrit Samaj Sudhar Samiti
2063,Dang,"Mid Western
Region","Community and Rural
Development",Ekikrit samaj Wikas kenadra Napal
2063,Ramechhap,"Central
Region","Community and Rural
Development",Ekikrit Samaj Wikas Nepal
2053,Dhanusha,"Central
Region","Community and Rural
Development",Ekikrit Samaj Wikas Parishad
2052,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Samajik Arthik Bikas
Sahabhagita Kendra"
2065,Morang,"Eastern
Region","Community and Rural
Development",Ekikrit Samajik Bikas Abhiyan
2064,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samajik Bikas Kendra
2063,Kapilbastu,"Western
Region","Community and Rural
Development",Ekikrit Samajik Bikas Kendra
2055,Udayapur,"Eastern
Region","Community and Rural
Development","Ekikrit Samajik Kalyan Sasntha
Nepal"
2060,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samajik Sangh Nepal
2052,Gorkha,"Western
Region","Community and Rural
Development",Ekikrit Samajik Sewa Kendra
2064,Lalitpur,"Central
Region","Community and Rural
Development","Ekikrit Samrakchhan Tatha Bikas
Kendra"
2056,Bhaktapur,"Central
Region","Community and Rural
Development",Ekikrit Samudaya Sewa
2054,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas
2064,Sarlahi,"Mid Western
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Abhiyan
2060,Kavre,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Abhiyan
Nepal"
2057,Gulmi,"Western
Region","Community and Rural
Development","Ekikrit Samudayik Bikas
Karyakram"
2064,Sarlahi,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Bikas
Karyakram"
2063,Palpa,"Western
Region","Community and Rural
Development","Ekikrit Samudayik Bikas
Karyakram"
2054,Dhading,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Kendra
2055,Kailali,"Far Western
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Kendra
2057,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Kendra
2066,Sarlahi,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Kendra
2052,Saptari,"Eastern
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Kendra
Nepal"
2057,Kavre,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Kendra
Nepal"
2065,Lamjung,"Western
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Kendra
Nepal"
2054,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Manch
2061,Parbat,"Western
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Manch
2063,Lalitpur,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Manch
2064,Rautahat,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Manch
Nepal"
2061,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Nepal
2062,Kavre,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Nepal
2061,Sarlahi,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Path
2058,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Bikas
Pratishathan"
,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Samaj
2065,Mahottari,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Samaj
2065,Sarlahi,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Samaj
2063,Dhanusha,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Samaj
2055,Kanchanpur,"Far Western
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Sangh
2061,Dhanusha,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Sanstha
2064,Sunsari,"Eastern
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Sanstha
2054,Kathmandu,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikas Sewa
2063,Humla,"Mid Western
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Tatha
Anusandhan Kendra"
2056,Kathmandu,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Bikas Tatha
Ship Prawardhhan Kendra"
2056,Dolakha,"Central
Region","Community and Rural
Development",Ekikrit Samudayik Bikash Abhiyan
2063,Sarlahi,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Digo Bikas
Kendra"
2064,Tanahu,"Western
Region","Community and Rural
Development","Ekikrit Samudayik Gramin Bikas
Kendra Nepal"
2061,Makwanpur,"Central
Region","Community and Rural
Development","Ekikrit Samudayik Gramin Bikas
Tatha Yuwa Swarojagar Samaj"
