District,Zone,Geographical Region,Development Region,NGO Name in Nepali,NGO Name in English,Acronym,Address,Telephone No.,Fax No.,Email,Website,Office Mobile No.,Contact Person,Working Sector
Khotang,Sagarmatha,Hill,Eastern,वरपिपल सँगै आकोछ सेवा समाज नेपाल ,Bara Pipal Sangai Aakochha Sewa Samaj Nepal,,Durchhim-1,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,भरोसा नेपाल ,Bharosa Nepal,,Buipa-7,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,सिर्जनशील सेवा समाज नेपाल ,Creative and Social Service Nepal,,Diktel-7,,,,,,Gopal Chandra Rai,
Khotang,Sagarmatha,Hill,Eastern,सयपत्री महिला आमा समूह ,Sayapatri Mahila Ama Samuha,,Chhorambu-1,,,,,,Laxmi Maya Tamang,
Khotang,Sagarmatha,Hill,Eastern,हातेमालो एकता सेवा समाज ,Hatemalo Ekata Sewa Samaj,,Sapteswor chhitapokhari,,,,,,Narendra B. Thapa,Health and Environment
Khotang,Sagarmatha,Hill,Eastern,शान्ति सृष्टि समाज क्लव ,Shanti Shristee Samaj Club,,Sa-chhitapokhari-8,,,,,,Shubas Rai,"Agriculture, tourism, sport and culture"
Khotang,Sagarmatha,Hill,Eastern,महिला उत्थान सञ्जाल ,Women Development Network,,Chhorambu-1,,,,,,Rama Paudel,Protect right of the people
Khotang,Sagarmatha,Hill,Eastern,शान्ति युवा क्लव ,Shanti Youth Club,,Chhorambu-7,,,,,,Lilabhakta Basnet,
Khotang,Sagarmatha,Hill,Eastern,किराँत आदिवासी जनजाति समाज ,Kirat Adibasi Janajati Samaj,,Chhorambu Yangsola,,,,,,Tirtharaj Rai,Cultural heritage
Khotang,Sagarmatha,Hill,Eastern,महिला  मञ्च ,Forum of women,,Khotang Bazar-9,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,अपाङ्ग सेवा संघ ,Disalbe Service Association,,Diktel-4,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,जनजागृति सेवा समाज ,Jana Jagriti sewa Samaj,,"Buipa-7,8",,,,,,,
Khotang,Sagarmatha,Hill,Eastern,दलित विकास अभियान मञ्च नेपाल,Dalit Development Campaing Forum Nepal,,Kkarpa-7,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,सप्तरङ्गी सेवा समाज  ,Shaptarangi Welfare Society,,Yamkha-1,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,नवज्याृति युवा क्लव ,Naba Joti Youth Club ,,Duekot-,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,देवीस्थान एकता समाज ,Devisthan yakata society,,,,,,,,,
Khotang,Sagarmatha,Hill,Eastern,सेल्मे जनकल्याण प्रतिष्ठान नेपाल ,Shree Selme Public Walfare Institute Nepal,,Khidima-8,,,,,,Dinesh Rai,
Khotang,Sagarmatha,Hill,Eastern,मानव अधिकारका लागि महिला एकल महिला,Women For Human Right Single Women group,,Diktel-3,,,,,,Sabita Dhakal,
Khotang,Sagarmatha,Hill,Eastern,जनसेवा असल शासन क्लव ,Janasewa Asalshasan Club,,Bijaykhark2,,,,,,Gobinda Katwal,
Khotang,Sagarmatha,Hill,Eastern,सगरमाथा बाल विकास परिवार ,Sagarmatha Bal Bikas Pariwar,,Khotag-9,,,,,,Sugrim Rai,
Khotang,Sagarmatha,Hill,Eastern,जागृति ,Awarrness,,Khotag-8,,,,,,Dhurba Kala Rai,"Educational,Health, Agriculture etc"
Khotang,Sagarmatha,Hill,Eastern,बसेरी जनसेवा समाज ,Baseri Janasewa Samaj,,Khotag-7,,,,,,Sharda Parsad Dhakal,
Khotang,Sagarmatha,Hill,Eastern,माल्थुम्की युवा क्लव ,Malthumki Youth Club,,Mahadevsthal-1,,,,,,Arjun Dahal,
Khotang,Sagarmatha,Hill,Eastern,सक्रिय समाज समूह ,Sakriya Samaj Group,,Khotag-3,,,ina2007indra@yahoo.com,,,Indra Parsad Achary,
Morang,Kosi,Terai,Eastern,जन ज्योती क्लब,Jana Jyoti Club,,Belbari-1,,,,,,,
Morang,Kosi,Terai,Eastern,लालित्य युवा क्लब,Lalitya Youth Club,,Basbari-4,,,,,,,
Morang,Kosi,Terai,Eastern,आदर्श युवा क्लब,Aadarsha Youth Club,,Jhorahat-1,,,,,,,
Morang,Kosi,Terai,Eastern,सुम्निमा साँस्कृतिक परिवार,Sumnima Cultural Family,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,शिशु सेवा समिति,Sishu Sewa Samaj,,Biratnagar-8,,,sssbrt@wlink.com.np,,,Manju Rijal,"health, education, child rights"
Morang,Kosi,Terai,Eastern,नक्सले पैनी जल उपभोक्ता संस्था,Naksale Paini Water Consumer Organization,,Belbari-1,,,,,,,
Morang,Kosi,Terai,Eastern,मछिन्द्र युवा क्लब,Machhindra Youth Club,,Kerabari,,,,,,,
Morang,Kosi,Terai,Eastern,देवकोटा पुस्तकालय,Devkota Library,,Biratnagar-10,,,,,,,
Morang,Kosi,Terai,Eastern,नेपाल ग्रामीण बिकास समाज केन्द्र,Nepal Rural Development Society Centre,,Biratnagar-14,,,nrdsc@wlink.com.np,,,,
Morang,Kosi,Terai,Eastern,सामुदायिक बिकास प्रयास नेपाल,Community Development Effort Nepal,,Biratnagar-7,,,,,,,
Morang,Kosi,Terai,Eastern,नारी बिकास संघ,Nari Bikash Sangh ,,"Biratnagar-3, Bargachi",,,nbs_brt@wlink.com.np,,,Sushila Chapagain,"education, health, sanitation,income generation,"
Morang,Kosi,Terai,Eastern,जनशक्ति तथा सामुदायिक बिकास केन्द्र,Public Empower and Community Development Centre,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,दिप ज्योती क्लब,Deep Jyoti Club,,Tetariya-2,,,,,,,
Morang,Kosi,Terai,Eastern,चन्द्र सूर्य क्लब,Chandra Surya Club,,Sidraha-1,,,,,,,
Morang,Kosi,Terai,Eastern,पूर्व ज्योती क्लब,Purba Jyoti Club,,Kerabari-9,,,,,,,
Morang,Kosi,Terai,Eastern,नवजागरण अध्ययन संस्था,Nava Jagaran Studies Organization,,Bayarban-8,,,,,,,
Morang,Kosi,Terai,Eastern,जन ज्योती वाचनालय तथा पुस्तकालय,Jana Jyoti Library,,Tankisinbari-2,,,,,,,
Morang,Kosi,Terai,Eastern,राजदेवी युवा क्लब,Raj Devi Youth Club,,Tankisinbari-1,,,,,,,
Morang,Kosi,Terai,Eastern,प्रगती अध्ययन केन्द्र,Pragati Studies Center,,Lotang-2,,,,,,,
Morang,Kosi,Terai,Eastern,पूर्वाञ्चल कृषि बिकास समूह,Eastern Agriculture Development Group,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,चिसाङ्ग बेलागाी कमलपुर नहर उपभोक्ता समिति,Chisanga Belagi Kamlapur Canal Consumer Committee,,Lotang-2,,,,,,,
Morang,Kosi,Terai,Eastern,नव ज्योती युवा क्लब,Nav Jyoti Youth Club,,Govindapur-8,,,,,,,
Morang,Kosi,Terai,Eastern,साझा क्लब,Sajha Club,,Takuwa-9,,,,,,,
Morang,Kosi,Terai,Eastern,समुदायिक बिकास सेवा केन्द्र,Community Development Service Centre,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,प्रतिभा बाल बिकास तथा समाज सेवा केन्द्र,Prativa Children Development and Social Service Centre,,Kerabari-2,,,,,,,
Morang,Kosi,Terai,Eastern,ग्रामीण महिला जन जागृती संघ,Gramin Mahila Jana Jagrit Sangh,,Indrapur-4,,,,,,,
Morang,Kosi,Terai,Eastern,महिला व्यवसायीक कृषि समुह,Mahila Byawasayi Krisi Samuha,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,प्रगती महिला बिकास केन्द्र,Pragati Wonen Dovelopment Center,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,नेपाल ग्रामिण महिला बिकास केन्द्र ,Nepal Rural Women Development Centre,,Tankisinbari-1,,,,,,,
Morang,Kosi,Terai,Eastern,प्रगति महिला बिकास केन्द्र,Progressive Women Development Centre,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,सृजनाशिल सामुदायिक बिकासका लागी सहयोगी समूह,Help Group for Creative Community Development ,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,ग्रामिण सामुदायिक बिकास केन्द्र,Rural Community Development Centre,,Biratnagar-15,,,rcdcbrt@gmail.com,,,Shankar Thapa,"health, education, "
Morang,Kosi,Terai,Eastern,लालित्य एकिकृत सामुदायिक बिकास समिति,Lalitya Integrated Community Development Committee,,Bhatigachha -2,,,,,,,
Morang,Kosi,Terai,Eastern,मोरङ्ग समाज सेवा केन्द्र,Morang Social Service Centre,,Bhatigachha-5,,,,,,,
Morang,Kosi,Terai,Eastern,समाज विकास पूर्वाधार केन्द्र,Society Development Pro-requistc Centre,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,इन्द्रेणी जागरण मञ्च,Indreni Jagaran Manch,,"Biratnagar-10, Hatkhola",,,indreni_2055@yahoo.com,,,Ram Bahadur Shrestha,"health, educatiom and environment"
Morang,Kosi,Terai,Eastern,रंगिली गोरेटो जाकृती समुह,Rangili Goreto Jakriti Samuha,,Rangili-3,,,,,,,
Morang,Kosi,Terai,Eastern,स्वयंसेवक समन्वय केन्द्र,Volunteer Coordination Centre,,Urlabari-6,,,,,,,
Morang,Kosi,Terai,Eastern,मानव अधिकार तथा वातावरण मञ्च,Human Rights and Environment Forum,,Biratnagar-14,,,,,,,
Morang,Kosi,Terai,Eastern,सुन्दर सामुदायिक सेवा सदन,Sundar Samudayik Sewa Sadan,,Sundarpur-9,,,,,,,
Morang,Kosi,Terai,Eastern,केदारमल देवकी देवी तोदी प्रतिष्ठान,Kedarmal Dewaki Devi Todi Pratisthan,,Biratnagar-6,,,,,,,
Morang,Kosi,Terai,Eastern,गोधुली युवा क्लब,Ghodhuli Youth Club,,Tandi-1,,,,,,,
Morang,Kosi,Terai,Eastern,समाज सेवा क्लब,Social Service Club,,Mrigauliya-8,,,,,,,
Morang,Kosi,Terai,Eastern,पूर्वाञ्चल पशु सेवा केन्द्र,Society For Livestock Service,,Biratnagar-13,,,,,,,
Morang,Kosi,Terai,Eastern,महिला पूर्नजागरण मञ्च,Forum For Women Renaissance,,Biratnagar-10,,,,,,,
Morang,Kosi,Terai,Eastern,नव युवा साँस्कृतिक क्लब,Nav Yuwa Cultural Club,,Tetariya-1,,,,,,,
Morang,Kosi,Terai,Eastern,गरिबी उन्मुलन सामुदायिक सेवा सदन नेपाल,Poverty Eradication Community Service  Nepal,,Pathari-1,,,,,,,
Morang,Kosi,Terai,Eastern,ग्रामीण महिला संरक्षण सेवा केन्द्र,Rural Women Protection Service Centre,,Biratnagar-3,,,,,,,
Morang,Kosi,Terai,Eastern,समाज सुधार तथा बिकास केन्द्र,Social Improvement and Development Centre,,Biratnagar-17,,,,,,,
Morang,Kosi,Terai,Eastern,राष्ट्रिय समाज उत्थान मञ्च,National Society Progress Forum,,Biratnagar-13,,,,,,,
Morang,Kosi,Terai,Eastern,मछिन्द्र सामुदायिक बिकास संस्था,Machhindra Community Development Organization,,Kerabari-2,,,,,,,
Morang,Kosi,Terai,Eastern,पूर्वाञ्चल अनाथ आश्रम,Purbanchal Anatha Aasram,,Biratnagar-17,,,,,,,
Morang,Kosi,Terai,Eastern,नेपाल महिला बिकास केन्द्र,Nepal Women Development Centre,,Tankisinubari,,,,,,,
Morang,Kosi,Terai,Eastern,राजारानी महिला कृषि समुह,Raja Rani Women Agricultural Group,,Dulari-7,,,,,,,
Morang,Kosi,Terai,Eastern,महिला प्रतिभा संघ,Mahila Prativa Sangh,,Belbari-2,,,,,,,
Morang,Kosi,Terai,Eastern,विराट कला समूह,Birat Kala Samuha,,Indrapur-3,,,,,,,
Morang,Kosi,Terai,Eastern,महिला सुरक्षा तथा जनचेतना अभियान,Campaign for Women Saftey and Public Awareness ,,,,,,,,,
Morang,Kosi,Terai,Eastern,नव क्षितिज समाज सेवा क्लब,Nav Kshitiz Social Service Club,,Keraun-1,,,,,,,
Morang,Kosi,Terai,Eastern,राष्ट्रिय समाज नेपाल,National Society Nepal,,Biratnagar-10,,,msucbrt@wlink.com.np,,,,
Morang,Kosi,Terai,Eastern,ग्रामीण अभियान,Rural Campagin,,Jhorahat-2,,,,,,,
Morang,Kosi,Terai,Eastern,नव आदर्श क्लब,Nav Aadarsha Club,,Govindapur-9,,,,,,,
Morang,Kosi,Terai,Eastern,बिराट यूवा समाज सेवा केन्द्र,Birat Youth Social Service Centre,,,,,,,,,
Morang,Kosi,Terai,Eastern,तरुण क्लब,Tarun Club,,Sijuwa-3,,,,,,,
Morang,Kosi,Terai,Eastern,सुकुना युवा क्लब,Sukuna Youth Club,,Indrapur-4,,,,,,,
Morang,Kosi,Terai,Eastern,नेपाल वातावरण तथा समाज सेवा केन्द्र,Nepal Environment and Social Service Centre,,Biratnagar-6,,,,,,,
Morang,Kosi,Terai,Eastern,महिला जागरण संघ,Mahila Jagaran Sangh,,Biratnagar-14,,,,,,,
Morang,Kosi,Terai,Eastern,जनहित केन्द्र,Public Welfare Centre,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,नेपाल प्रदुषण मुक्त वातावरणीय कार्यक्रम,Free from Pollution Environmental Program Nepal,,Biratnagar-10,,,,,,,
Morang,Kosi,Terai,Eastern,शैक्षिक सहयोगी संस्था,Education Helpline,,"Biratnagar-16, Panchali",,,education_helpline@yahoo.com,,,Rajendra Prasad Dhakal,education
Morang,Kosi,Terai,Eastern,राष्ट्रिय समाज नेपाल,National Society Nepal,,Biratnagar-10,,,,,,,
Morang,Kosi,Terai,Eastern,बिराट चेतनशिल समाज,Birat Awareness Society,,Biratnagar-4,,,,,,,
Morang,Kosi,Terai,Eastern,समुदाय सुधार केन्द्र,Community Improvement Centre,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,सिर्जनशील क्लव,Srijansil Club,,Dulari-6,,,,,,,
Morang,Kosi,Terai,Eastern,दुलारी स्वस्थ्य समाज,Dulari Health Club,,Dulari,,,,,,,
Morang,Kosi,Terai,Eastern,सामुदायिक विकासका लागि क्रियाशिल युवाहरुको प्रयास(एफोर्ट),Effort Of Active  Youths  for Community Development,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,जनचेतना तथा वातावरण संरक्षण विकास केन्द्र,Public Awareness and Environment Protection Development Centre,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,जन सेवा कल्याण समिति,Public Service Welfare Committee,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,कृष्ण स्मृति समाज विकास संस्था,Krishna Memorial Social Development Organization,,Sijuwa-9,,,,,,,
Morang,Kosi,Terai,Eastern,बहुउद्देश्यीय विकास व्यवस्थापन सेवा नेपाल,MultiPurpose Development Management Service Nepal,,Biratnagar-13,,,,,,,
Morang,Kosi,Terai,Eastern,नेपालको ग्रामिण स्वास्थ्य तथा विकासका लागि सामाजिक कार्य,Social Action for Rural Health and Development of Nepal,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,सामुदायिक विकास समाज,Community Development Society,,Biratnagar-4,,,cdsbrt@wlink.com.np,,,,
Morang,Kosi,Terai,Eastern,स्व–जागरण समाज नेपाल,Self Awareness Society Nepal,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,प्रगतिशिल महिला जागरण संस्था,Progressive Women Awareness Organization,,Bardanga-7,,,,,,,
Morang,Kosi,Terai,Eastern,बाल समाज नेपाल,Child society Nepal,,Biratnagar-16,,,balsamaj@gmail.com,,,Sita Poudel,"health, education, environment, "
Morang,Kosi,Terai,Eastern,फूलबारी समाज नेपाल,Phulbari Society Nepal,,Pathari-1,,,g_lamsal@yahoo.com,,,,
Morang,Kosi,Terai,Eastern,नेपाल दलित समतामुलक समाज,Nepal Dalit Equity Society,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,लालीगुराँस सामुदायिक विकास केन्द्र,LaliGurans Community Development Centre,,Pathari-2,,,,,,,
Morang,Kosi,Terai,Eastern,समाधान नेपाल,Samadhan Nepal,,Bakhari-16,,,prakashpanta2000@yahoo.com,,,,
Morang,Kosi,Terai,Eastern,हरियो समाज नेपाल,Hariyo Samaj Nepal,,Biratnagar-6,,,,,,,
Morang,Kosi,Terai,Eastern,सगरमाथा समाज सेवा केन्द्र,Sagarmatha Social Service Centre,,Tankisinbasi-4,,,,,,,
Morang,Kosi,Terai,Eastern,समाज विकास मञ्च,Society Development Forum,,Biratnagar-4,,,,,,,
Morang,Kosi,Terai,Eastern,आत्म निर्भरता अभियान नेपाल ,Self Reliance Initiatives Nepal,,Biratnagar-13,,,tlsri@hotmail.com,,,,
Morang,Kosi,Terai,Eastern,महिला चेतना तथा उत्थान समाज केन्द्र ,Women Awareness Resue Society Centre,,Biratnagar-11,,,,,,,
Morang,Kosi,Terai,Eastern,सामुदायिक विकास मञ्च नेपाल ,Community Development Forum,,Letang-2,,,cdf_org@yahoo.com,,,,
Morang,Kosi,Terai,Eastern,जनज्योति समाज ,Jana Jyoti Samaj,,Tankisinbasi-4,,,blpaswan06@yahoo.com,,,,
Morang,Kosi,Terai,Eastern,असहाय पुनस्थापना केन्द्र ,Helpless Rehabilitation Centre,,Biratnagar-4,,,hrc4brt@yahoo.com,,,,
Morang,Kosi,Terai,Eastern,ग्रामीण अपाङ्ग सेवा संघ,Rural Disable Service Organization,,Rajghat-3,,,,,,,
Morang,Kosi,Terai,Eastern,बहुमुखी संस्था ,Multiple Organization,,Titariya-8,,,,,,,
Morang,Kosi,Terai,Eastern,दीपज्योति असहाय बाल बृद्ध नागरिक संस्था नेपाल,Deep Jyotee Corporation For The Disable Children And The Old Citizen Nepal,,Pathari-4,,,,,,,
Morang,Kosi,Terai,Eastern,एकिकृत विकास संस्था ,Integrated Development Organization,,Indrapur-8,,,,,,,
Morang,Kosi,Terai,Eastern,हौली परिवार ,Hauli Pariwar,,Duhabi-1,,,,,,,
Morang,Kosi,Terai,Eastern,सामुदायिक विकास तथा वातावरण संरक्षण मञ्च  ,Community Development and Environment Conservation Forum,,Sundarpur-9,,,"sunamkeshav@hotmail.com,keshu_sunam@yahoo.com",,,,
Morang,Kosi,Terai,Eastern,मनोकामना सामुदायिक विकास केन्द्र  ,Manokamana Community Development Centre,,Biratnagar-13,,,,,,,
Morang,Kosi,Terai,Eastern,पहाडी ग्रामीण विकास संस्था,Himali Rural Development Organization,,Singhdevi-5,,,,,,,
Morang,Kosi,Terai,Eastern,हेल्प ग्रुप नेपाल ,Help Group Nepal,,Biratnagar-16,,,helpbrt@yahoo.com,,,Bishnu Sharma(Acharya),"health, empowerment, "
Morang,Kosi,Terai,Eastern,सप्तरंगी समाज सेवा ,Institute Of Saptrangi Social Service,,Jhorahat-9,,,,,,,
Morang,Kosi,Terai,Eastern,जेष्ठ नागरिक समाज ,Olders People Society,,Biratnagar-10,,,,,,,
Morang,Kosi,Terai,Eastern,जनविकासका लागि छहारी मिलन केन्द्र ,Public Development For Shlter Center,,Keraun-4,,,,,,,
Morang,Kosi,Terai,Eastern,सामाजिक रुपान्तरण अभियान ,Compagin For Social Transformation Nepal,,Tankisinubari-1,,,,,,,
Morang,Kosi,Terai,Eastern,सामाजिक सुविधा तथा ग्रामीण वितावरण सेभ नेपाल ,Social Advantage And Village Envirorment Nepal(Save Nepal),,Biratnagar-4,,,savenepal@brt.wlink.com.np,,,,
Morang,Kosi,Terai,Eastern,नेपाल मुश्लिम युथ कमिटि ,Nepal Muslim Youth Committee,,Biratnagar-7,,,,,,,
Morang,Kosi,Terai,Eastern,महिला जागृत केन्द्र ,Mahila Jagrit Centre,,Biratnagar-12,,,,,,,
Morang,Kosi,Terai,Eastern,महिला स्वास्थ्य स्वयंसेविका हित संरक्षण मञ्च,Female Health Volunteer Welfare Protection Forum,,Biratnagar-9,,,,,,,
Morang,Kosi,Terai,Eastern,सामुहिक उत्थान ,Samuhi Utthan,,Biratnagar-16,,,,,,,
Morang,Kosi,Terai,Eastern,महिला शान्ति अनुसन्धान तथा विकास केन्द्र ,Women Peace Research and  Development Centre,,"Biratnagar-10, Hatkhola",,,wprdcmorang@gmail.com,,,Sanju Shah,"women right , human right"
Morang,Kosi,Terai,Eastern,मानव अधिकारको लागि स्रोत विकास मञ्च,Resource Development Forum For Human Right Nepal,,Biratnagar-15,,,umeshbk.brt@gmail.com,,,,
Morang,Kosi,Terai,Eastern,महिला अधिकार सञ्जाल ,Mahila adhikar Sanjal,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,स्वास्थ्य र शान्तिका लागि वातावरण नेपाल ,Health And Peace For Environment Nepal,,Biratnagar-3,,,,,,,
Morang,Kosi,Terai,Eastern,दलित अधिकारका लागि महिला अभियान केन्द्र ,Women's Campaiogn Center For Dalit Rights,,Biratnagar-15,,,dalitwomens@yahoo.com,,,,
Morang,Kosi,Terai,Eastern,बाल तथा महिला उत्थान केन्द्र ,Children and Women Upliftment Centre,,Biratnagar-15,,,,,,,
Morang,Kosi,Terai,Eastern,राजघाट जनकल्याण मञ्च ,Rajghat Janakalyan Manch,,"Rajghat ward no. - 8, ",,,,,,Muktinath Baral,farming
Morang,Kosi,Terai,Eastern,पुनर्जीवन नेपाल ,Punarjiwan Nepal,,Biratnagar-13,,,dhakal.rajan@g mail.com,,,Rudra Prakash Dhakal,"education, health, sanitation"
Okhaldhunga,Sagarmatha,Hill,Eastern,दिगो विकासमा महिला,Women in Sustainble Development,,Rumjhatar-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,साहसी जमात नेपाल,Bold Group Nepal,,Okhaldhunga,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,हिमचुली चिदिङ्ग क्लब ,Humchuli Chiding Club ,,Bhusinga-7,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,पारस्परिक सेवा अनुष्ठान,Parsparik Sewa Anusthan,,Rambazar-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,चंचलादेवी प्रगतीशील यूवा क्लब,Chanchala Devi Pragatishil Youth Club,,Katunje-2,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,लाली गुँरास युवा क्लब,Lali Gunrans Youth Club,,"Bigutar-1, Tenkebazar",,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,तिन कन्या कालीका देवी विकास समाज,Tin Kanya Kalika Devi Bikas Samaj,,"Andheri Narayan Stha-3,Milan Chowk",,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,ओखलढुङ्गा यूवा क्लब,Okhaldhunga Youth Club Nepal,,Okhaldhunga-7,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,ग्रमिण महिला जागरण समूह,Rural Women Jagaran Group,,Okhaldhunga-6,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,टि.एन. स्मृति प्रतिष्ठान,T.N. Memorial Foundation ,,Balkhu-7,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,दिगो बिकासको लागि सहयोगी समूह,Helping Group for Sustainable Development ,,Katunje-6,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,वातावरण संरक्षण तथा सेवा केन्द्र,Environment Protection and Service Centre,,Dhulachhap-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सिद्धिचरण संग्रालय,Siddhicharn Musiam,,Nagaronmukha-6,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,लिखु देम्बा सामुदायिक विकास मञ्च,Likhu Demba Community Development Forum,,sijiphalate-3,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,जागृति युवा क्लब,Jagriti Youth Club,,"Barchade,Taluwa-7",,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,महिला बिकासका लागि आधार समूह,Foundation Group for Women Development,,"Barnalu-6, Birlate",,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,जनसेवा युवा क्लव,Public Service Youth Club,,Ramailo Danda-2,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सिद्धिचरण संंग्राहलय समिति,Siddhicharn Musiam Committee,,Okhaldhunga-6,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,वृहस्पति भोज समाज कल्याण,Brihaspati Bhoj Samaj Kalyan,,Narayansthan-4,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,दस्के प्रतियोगिशिल युवा विकास समाज,Daske Prgtiyogishil Yuwa Bikas Samaj,,Baruneswor-7,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,कुशलादेवी युवा क्लव,Kushala Devi Youth Club,,Katunje-8,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,जनप्रिय विकास केन्द्र,Jan Priya Development Centre,,Thulachhpa-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,युवा महिला जागरण समूह,Youth Women Awareness Group,,Rumjatar-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,कालिका युवा क्लव,Kalika Youth Club ,,Melidanda-3,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,यथार्थ सामाजिक आदर युवा क्लव,Real Dignity Youth club,,Sobra-8,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,पद्मा कुमारी दल बहादुर कार्की स्मृति प्रतिष्ठान,"Padma Kumari, Dal Bahadur Karki Memorial Trust",,Mulkharka-2,,,,,,ukarki@ntc.net.np,
Okhaldhunga,Sagarmatha,Hill,Eastern,महिला र उत्पिडितहरुका लागि संयुक्त शिक्षा कार्यक्रम,Joint Education Program for Women and Oppressed ,,Phulbari-2,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सिद्धेश्वर महादेव सेवा समाज,Siddheswor Mahadev Service Society,,Narayansthan-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,हरियाली विकास समाज ,Hariyali Development Society,,Mulkharka-2,,,,,,ukarki@ntc.net.np,
Okhaldhunga,Sagarmatha,Hill,Eastern,धरती,Dharati,,Okhaldhunga-6,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सगरमाथा राष्ट्रिय विकास मञ्च ,Sagarmatha National Development Forum,,Okhaldhunga-6,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,जनउत्थान सरोकार केन्द्र ,Public Upliftment Concern Centre,,Yasam-9,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,कोटगढी शिखर समाज ,Kotgadhi Shikhar Samaj,,Khanibhanjyang-1,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सुनाखरी कोशेली युवा क्लब ,Sunakhari Koshele Youth Club,,"Thakle-7, Hilepani",,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,समाज कल्याण मञ्च ,Social Welfare Forum,,Yasam-7,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सहयोगी समाज समूह ,Supporting Society Team,,Rumjatar,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,जनजाति उत्थान समाज ,Ethnic Welfare Society,,Bilandu-7,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,सिर्जनशील युवा समाज ,Srijanshil Youth society,,Gamnagtar-5,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,महिला सशक्तिकरण समाज ,Women Empowerment Society,,Ragani-4,,,,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,फूलबारी युवा मञ्च ,Phulbari Youth Forum,,Phulbari-9,,,,,,,
